Primary_Branch,Total_Customers,High_Risk_Customers,High_Value_Customers,High_Value_At_Risk,Total_Balance,Avg_Balance,Avg_Risk_Score,Total_Debit_Outflow,Total_Complaints,Avg_CSAT,NPA_Count,High_Risk_Rate_Pct,Balance_At_Risk,Balance_At_Risk_Pct
BR001,285,86,28,21,43560206.9,152842.83,44.94,149770861.16,350.0,3.58,2,30.18,31706016.21,72.79
BR002,291,84,32,16,47708075.75,163945.28,45.51,193346227.27,336.0,3.6,1,28.87,23277206.67,48.79
BR003,250,70,26,15,29173845.17,116695.38,44.74,74958903.14,283.0,3.83,0,28.0,15670271.42,53.71
BR004,243,60,28,16,46847365.56,192787.51,43.88,98782492.47,281.0,3.75,0,24.69,32560386.91,69.5
BR005,251,67,25,14,35314428.17,140694.93,44.76,139875468.53,282.0,3.83,0,26.69,18568935.57,52.58
BR006,253,71,27,13,62183861.6,245786.01,44.22,138447992.46,276.0,3.63,0,28.06,19027701.3,30.6
BR007,231,61,19,12,21478365.81,92979.94,44.83,108418801.27,266.0,3.84,2,26.41,11179639.48,52.05
BR008,268,63,27,15,34006930.12,126891.53,44.2,108685235.95,306.0,3.77,2,23.51,15987843.16,47.01
BR009,271,66,33,13,33561993.98,123845.0,44.19,179296636.15,321.0,3.63,2,24.35,12823565.34,38.21
BR010,261,69,24,14,31743346.67,121622.02,43.59,118470940.21,297.0,3.8,1,26.44,19453728.16,61.28
BR011,238,63,27,16,32234047.11,135437.17,44.52,123821521.37,295.0,3.65,16,26.47,13313846.8,41.3
BR012,265,70,28,19,40785878.67,153908.98,43.98,141141973.71,322.0,3.86,2,26.42,25368738.56,62.2
BR013,253,68,30,16,33964067.84,134245.33,44.02,113946167.98,347.0,3.7,0,26.88,14335576.53,42.21
BR014,254,61,20,12,38928846.32,153263.17,43.78,102138940.22,310.0,3.74,0,24.02,25955805.97,66.67
BR015,236,51,23,12,28738039.83,121771.36,43.69,96181497.11,284.0,3.65,0,21.61,19014744.35,66.17
BR016,221,54,21,8,23551434.77,106567.58,43.12,136504320.0,261.0,3.76,8,24.43,11209841.17,47.6
BR017,218,55,20,12,26451519.63,121337.25,44.23,110531605.88,258.0,3.77,0,25.23,9114777.5,34.46
BR018,205,42,19,9,23417223.31,114230.36,43.46,72360240.78,252.0,3.79,0,20.49,8346046.34,35.64
BR019,218,58,31,15,34927695.46,160218.79,44.02,125478444.25,249.0,3.74,0,26.61,13871484.12,39.71
BR020,233,57,22,14,23269996.08,99871.23,43.93,118509144.41,294.0,3.67,0,24.46,11760917.21,50.54
BR021,209,48,25,11,31829979.15,152296.55,43.65,77758755.54,259.0,3.85,0,22.97,10626971.46,33.39
BR022,230,54,20,12,33778207.61,146861.77,43.44,87419964.19,253.0,3.62,1,23.48,18094742.49,53.57
BR023,196,51,25,16,45008578.75,229635.61,44.73,138225385.09,238.0,3.74,0,26.02,28182541.55,62.62
BR024,191,44,21,10,27441781.06,143674.25,43.83,79053790.06,221.0,3.75,0,23.04,15258190.89,55.6
BR025,203,50,21,11,30556380.4,150524.04,43.08,52038167.09,221.0,3.63,13,24.63,20484731.98,67.04
BR026,206,42,16,11,23244351.78,112836.66,42.49,70189056.48,236.0,3.79,0,20.39,14232141.78,61.23
BR027,200,44,20,13,30402031.6,152010.16,42.77,89981576.65,242.0,3.79,2,22.0,18866490.83,62.06
BR028,202,41,15,8,28433462.28,140759.71,42.98,62245239.49,238.0,3.81,0,20.3,16438152.7,57.81
BR029,182,42,17,6,19934013.84,109527.55,44.01,106578340.87,214.0,3.7,0,23.08,8417852.22,42.23
BR030,173,45,23,17,22569390.62,130458.91,44.32,93599139.52,207.0,3.59,0,26.01,13518710.05,59.9
BR031,202,36,18,8,21002176.64,103971.17,42.59,58738427.87,230.0,3.83,0,17.82,10283173.99,48.96
BR032,187,43,21,12,21083739.12,112747.27,42.96,108337225.06,217.0,3.69,0,22.99,11781923.65,55.88
BR033,185,40,16,9,19329556.37,104484.09,42.37,76665162.96,213.0,3.61,1,21.62,9844428.56,50.93
BR034,187,47,13,9,15863981.34,84834.12,43.22,38271281.43,243.0,3.67,0,25.13,7205488.2,45.42
BR035,161,31,21,9,18721240.41,116281.0,42.4,75296999.49,195.0,3.69,10,19.25,8893663.02,47.51
BR036,180,32,17,10,16466850.96,91482.51,41.72,56960881.56,206.0,3.47,0,17.78,7212783.01,43.8
BR037,160,29,17,5,15451877.62,96574.24,42.93,38451995.69,189.0,3.76,0,18.12,4767565.26,30.85
BR038,169,40,23,12,21706066.82,128438.27,43.2,80290663.87,170.0,3.57,0,23.67,10601718.96,48.84
BR039,161,31,14,8,14045833.3,87241.2,42.05,41838895.37,196.0,3.79,0,19.25,6581497.51,46.86
BR040,177,41,18,10,15899594.92,89828.22,42.82,40282404.59,215.0,3.83,0,23.16,7710936.64,48.5
BR041,159,31,19,10,13727413.8,86335.94,42.74,54847705.07,195.0,3.82,0,19.5,6295983.18,45.86
BR042,158,32,11,3,14938636.45,94548.33,42.12,56998163.3,173.0,3.75,0,20.25,4592599.9,30.74
BR043,166,31,17,7,19145302.84,115333.15,41.52,58975372.08,187.0,3.83,0,18.67,10398862.03,54.32
BR044,146,28,13,7,12226118.78,83740.54,42.2,77870799.02,158.0,3.82,0,19.18,6451679.89,52.77
BR045,147,26,6,2,9319245.65,63396.23,41.74,23804667.13,190.0,3.74,0,17.69,3270491.62,35.09
BR046,151,25,10,6,9982841.89,66111.54,41.64,48863856.92,173.0,3.55,0,16.56,5187074.75,51.96
BR047,168,37,14,8,14881639.97,88581.19,42.59,41649704.88,203.0,3.58,0,22.02,5576563.65,37.47
BR048,130,24,14,6,14523364.56,111718.19,41.62,70873615.95,124.0,3.62,0,18.46,5717946.54,39.37
BR049,134,25,13,4,12433781.65,92789.42,41.76,50621047.65,166.0,3.62,0,18.66,4870340.55,39.17
BR050,135,36,17,11,25062255.66,185646.34,43.38,48637817.21,158.0,3.75,7,26.67,19431055.62,77.53
