Account_ID,Customer_ID,Account_Type,Open_Date,Balance,Branch_ID,Relationship_Manager
ACC_000094,CUST_00094,Savings,2027-05-06,4827.0,BR027,RM_081
ACC_000445,CUST_00445,Savings,2027-05-02,18899.93,BR011,RM_061
ACC_000824,CUST_00824,Savings,2027-06-29,15189.58,BR004,RM_083
ACC_000934,CUST_00934,Savings,2026-12-04,4770.94,BR002,RM_066
ACC_001180,CUST_01180,Current,2026-09-19,78608.17,BR022,RM_022
ACC_001615,CUST_01615,Savings,2027-04-26,27760.13,BR018,RM_060
ACC_001655,CUST_01655,Salary,2026-12-30,3983.03,BR006,RM_075
ACC_001826,CUST_01826,Current,2026-12-05,4055.4,BR022,RM_010
ACC_002067,CUST_02067,Savings,2027-05-18,5544.9,BR040,RM_071
ACC_002480,CUST_02480,Savings,2026-12-06,647.8,BR040,RM_001
ACC_002783,CUST_02783,Savings,2026-10-28,37859.23,BR013,RM_092
ACC_002840,CUST_02840,Savings,2027-08-01,11554.31,BR001,RM_093
ACC_003029,CUST_03029,Savings,2027-01-15,25426.7,BR020,RM_003
ACC_003298,CUST_03298,Savings,2027-05-25,459679.87,BR025,RM_007
ACC_003473,CUST_03473,Savings,2027-04-13,1695.73,BR035,RM_016
ACC_003951,CUST_03951,Salary,2026-12-28,174543.93,BR038,RM_072
ACC_004481,CUST_04481,Salary,2026-12-14,22662.37,BR007,RM_089
ACC_004496,CUST_04496,Savings,2027-03-22,105511.29,BR015,RM_018
ACC_004799,CUST_04799,Savings,2026-11-16,83752.15,BR002,RM_089
ACC_004839,CUST_04839,Savings,2026-11-30,20846.62,BR017,RM_044
ACC_005116,CUST_05116,Current,2027-06-23,131053.66,BR046,RM_038
ACC_005344,CUST_05344,Savings,2026-11-10,8646.7,BR031,RM_036
ACC_005447,CUST_05447,Savings,2027-01-06,23500.98,BR027,RM_058
ACC_005546,CUST_05546,Salary,2027-05-11,40972.95,BR020,RM_094
ACC_005559,CUST_05559,Savings,2026-11-02,1296.52,BR013,RM_026
ACC_005604,CUST_05604,Savings,2027-03-26,16343.95,BR029,RM_023
ACC_005681,CUST_05681,Savings,2026-11-25,172177.57,BR015,RM_012
ACC_006116,CUST_06116,Savings,2027-01-15,288223.98,BR009,RM_030
ACC_006142,CUST_06142,Current,2027-07-17,4666.79,BR045,RM_003
ACC_006634,CUST_06634,Savings,2026-11-27,4564.98,BR047,RM_046
ACC_006655,CUST_06655,Savings,2027-04-30,9664.11,BR030,RM_038
ACC_006687,CUST_06687,Savings,2027-03-30,30101.12,BR038,RM_062
ACC_006688,CUST_06688,Current,2027-01-14,8337.16,BR010,RM_031
ACC_006748,CUST_06748,Current,2026-11-01,29773.19,BR046,RM_045
ACC_007078,CUST_07078,Savings,2027-08-03,3115.31,BR009,RM_044
ACC_007302,CUST_07302,Salary,2027-03-31,92616.55,BR016,RM_026
ACC_008038,CUST_08038,Savings,2026-10-24,1815.7,BR015,RM_013
ACC_008097,CUST_08097,Savings,2026-11-23,10641.57,BR019,RM_013
ACC_008106,CUST_08106,Salary,2027-06-29,4422.83,BR006,RM_013
ACC_008342,CUST_08342,Savings,2027-03-03,9899.53,BR014,RM_075
ACC_008401,CUST_08401,Salary,2027-07-14,46985.29,BR014,RM_090
ACC_008519,CUST_08519,Savings,2027-06-06,82521.06,BR042,RM_098
ACC_008616,CUST_08616,Salary,2027-04-18,6645.85,BR032,RM_018
ACC_008903,CUST_08903,Savings,2027-01-20,3356.83,BR027,RM_083
ACC_009023,CUST_09023,Savings,2027-06-26,26684.96,BR046,RM_021
ACC_010106,CUST_10106,Salary,2027-04-16,215359.06,BR024,RM_066
ACC_010357,CUST_05546,Current,2027-05-11,40111.17,BR038,RM_028
ACC_010378,CUST_06116,Savings,2027-01-15,53845.35,BR025,RM_052
ACC_010475,CUST_02480,Salary,2026-12-06,8201.6,BR001,RM_050
ACC_010512,CUST_04799,Savings,2026-11-16,3677.5,BR011,RM_074
ACC_010723,CUST_06634,Salary,2026-11-27,46349.27,BR015,RM_023
ACC_010753,CUST_08616,Savings,2027-04-18,4861.71,BR010,RM_034
ACC_010762,CUST_02067,Savings,2027-05-18,4234.67,BR042,RM_004
ACC_011075,CUST_07302,Savings,2027-03-31,15182.13,BR002,RM_028
ACC_011531,CUST_02480,Savings,2026-12-06,48485.41,BR027,RM_041
ACC_011577,CUST_01826,Savings,2026-12-05,214.17,BR020,RM_068
ACC_011771,CUST_05559,Savings,2026-11-02,2790.65,BR048,RM_012
ACC_011778,CUST_08616,Savings,2027-04-18,14336.16,BR023,RM_095
ACC_012469,CUST_02783,Salary,2026-10-28,9219.37,BR018,RM_086
ACC_012838,CUST_05344,Salary,2026-11-10,13568.04,BR028,RM_087
ACC_012924,CUST_08903,Savings,2027-01-20,7188.1,BR027,RM_071
ACC_013160,CUST_08903,Savings,2027-01-20,509.55,BR044,RM_022
ACC_013196,CUST_07302,Salary,2027-03-31,459540.85,BR014,RM_098
ACC_013295,CUST_00445,Savings,2027-05-02,33993.24,BR032,RM_011
ACC_013305,CUST_08097,Savings,2026-11-23,6123.77,BR050,RM_025
ACC_013873,CUST_02783,Savings,2026-10-28,12733.84,BR029,RM_098
