Account_ID,Customer_ID,Account_Type,Open_Date,Balance,Branch_ID,Relationship_Manager
ACC_000035,CUST_00035,Savings,2025-04-24,-1232.32,BR025,RM_086
ACC_000041,CUST_00041,Savings,2021-05-06,-1756.21,BR014,RM_091
ACC_000098,CUST_00098,Savings,2025-12-28,-3408.75,BR036,RM_075
ACC_000149,CUST_00149,Savings,2021-04-01,-1243.23,BR048,RM_030
ACC_000212,CUST_00212,Savings,2021-09-04,-3904.76,BR003,RM_091
ACC_000367,CUST_00367,Savings,2026-06-30,-2606.85,BR033,RM_018
ACC_000484,CUST_00484,Savings,2023-11-21,-618.62,BR020,RM_082
ACC_000539,CUST_00539,Savings,2024-12-13,-3568.63,BR041,RM_081
ACC_000686,CUST_00686,Savings,2021-08-03,-550.97,BR014,RM_061
ACC_000792,CUST_00792,Savings,2025-07-12,-3211.31,BR015,RM_094
ACC_000865,CUST_00865,Savings,2026-06-30,-4828.22,BR050,RM_043
ACC_000928,CUST_00928,Savings,2023-05-08,-1134.86,BR046,RM_008
ACC_000938,CUST_00938,Savings,2021-04-17,-1632.82,BR022,RM_095
ACC_000989,CUST_00989,Savings,2022-11-14,-3076.29,BR023,RM_083
ACC_000996,CUST_00996,Savings,2026-03-07,-966.39,BR045,RM_017
ACC_001086,CUST_01086,Savings,2026-05-15,-4472.65,BR037,RM_049
ACC_001145,CUST_01145,Savings,2024-07-28,-936.82,BR031,RM_095
ACC_001202,CUST_01202,Salary,2022-03-03,-2255.5,BR012,RM_066
ACC_001208,CUST_01208,Savings,2025-06-11,-2669.91,BR002,RM_068
ACC_001300,CUST_01300,Savings,2022-10-24,-1180.11,BR009,RM_020
ACC_001416,CUST_01416,Salary,2024-03-20,-1754.54,BR023,RM_041
ACC_001431,CUST_01431,Savings,2022-05-01,-1086.34,BR032,RM_093
ACC_001503,CUST_01503,Savings,2024-04-16,-4354.51,BR047,RM_050
ACC_001571,CUST_01571,Savings,2026-03-14,-4849.55,BR043,RM_076
ACC_001809,CUST_01809,Savings,2026-07-06,-3355.73,BR019,RM_033
ACC_001847,CUST_01847,Salary,2022-01-03,-4209.08,BR020,RM_071
ACC_002592,CUST_02592,Savings,2024-06-22,-3937.12,BR006,RM_006
ACC_002941,CUST_02941,Savings,2022-08-05,-740.82,BR013,RM_042
ACC_002945,CUST_02945,Savings,2025-02-24,-4558.91,BR040,RM_089
ACC_003053,CUST_03053,Salary,2023-03-08,-278.89,BR032,RM_023
ACC_003299,CUST_03299,Savings,2022-09-14,-4733.59,BR029,RM_027
ACC_003439,CUST_03439,Salary,2024-06-15,-3918.48,BR031,RM_072
ACC_003656,CUST_03656,Savings,2022-03-29,-2721.46,BR019,RM_035
ACC_003893,CUST_03893,Savings,2026-07-01,-1900.15,BR028,RM_024
ACC_003905,CUST_03905,Savings,2025-01-14,-3458.88,BR005,RM_031
ACC_003998,CUST_03998,Savings,2022-01-21,-3906.21,BR050,RM_099
ACC_004022,CUST_04022,Savings,2022-01-09,-677.11,BR027,RM_073
ACC_004174,CUST_04174,Savings,2025-12-03,-4926.98,BR007,RM_007
ACC_004285,CUST_04285,Savings,2022-08-27,-4741.38,BR031,RM_049
ACC_004456,CUST_04456,Savings,2026-03-19,-4212.51,BR017,RM_003
ACC_004461,CUST_04461,Savings,2022-05-22,-580.15,BR004,RM_028
ACC_004629,CUST_04629,Salary,2023-05-21,-2270.8,BR008,RM_011
ACC_004803,CUST_04803,Savings,2026-02-03,-3969.05,BR014,RM_084
ACC_004810,CUST_04810,Salary,2024-07-06,-1167.5,BR045,RM_050
ACC_004968,CUST_04968,Savings,2024-03-01,-1078.31,BR025,RM_008
ACC_005117,CUST_05117,Savings,2024-10-11,-1690.45,BR023,RM_040
ACC_005407,CUST_05407,Salary,2026-06-08,-2062.28,BR027,RM_093
ACC_005421,CUST_05421,Savings,2022-01-20,-860.22,BR014,RM_069
ACC_005450,CUST_05450,Savings,2025-11-19,-3607.78,BR020,RM_083
ACC_005630,CUST_05630,Savings,2026-05-27,-2905.29,BR042,RM_038
ACC_005687,CUST_05687,Salary,2026-02-10,-2038.91,BR048,RM_057
ACC_006130,CUST_06130,Savings,2024-01-05,-2940.49,BR017,RM_095
ACC_006196,CUST_06196,Savings,2026-06-06,-3057.66,BR036,RM_024
ACC_006348,CUST_06348,Savings,2025-06-13,-4923.36,BR001,RM_017
ACC_006384,CUST_06384,Savings,2024-05-20,-2923.39,BR031,RM_019
ACC_006440,CUST_06440,Salary,2025-06-08,-4407.35,BR016,RM_095
ACC_006587,CUST_06587,Savings,2022-12-01,-1208.8,BR042,RM_056
ACC_006672,CUST_06672,Savings,2024-03-21,-3672.95,BR043,RM_053
ACC_006712,CUST_06712,Savings,2026-04-22,-2205.81,BR020,RM_047
ACC_006719,CUST_06719,Savings,2026-05-21,-3714.78,BR003,RM_055
ACC_006796,CUST_06796,Savings,2024-05-01,-634.59,BR042,RM_099
ACC_006808,CUST_06808,Savings,2024-06-09,-826.62,BR040,RM_005
ACC_006827,CUST_06827,Savings,2025-10-11,-371.75,BR022,RM_051
ACC_006838,CUST_06838,Savings,2025-02-27,-449.85,BR016,RM_092
ACC_007042,CUST_07042,Savings,2021-05-20,-589.74,BR045,RM_033
ACC_007092,CUST_07092,Savings,2022-06-20,-4003.16,BR038,RM_075
ACC_007347,CUST_07347,Savings,2026-03-29,-3501.35,BR022,RM_011
ACC_007399,CUST_07399,Savings,2026-06-25,-3631.42,BR014,RM_032
ACC_007576,CUST_07576,Savings,2024-06-27,-1208.09,BR012,RM_065
ACC_007835,CUST_07835,Savings,2022-04-11,-1723.18,BR030,RM_020
ACC_007882,CUST_07882,Savings,2024-07-31,-1820.35,BR008,RM_021
ACC_007949,CUST_07949,Savings,2023-10-28,-881.06,BR017,RM_009
ACC_008010,CUST_08010,Savings,2024-06-16,-3213.22,BR034,RM_052
ACC_008040,CUST_08040,Savings,2021-10-13,-3615.9,BR009,RM_028
ACC_008089,CUST_08089,Savings,2021-05-15,-1055.92,BR001,RM_091
ACC_008194,CUST_08194,Savings,2025-02-25,-1707.48,BR037,RM_045
ACC_008239,CUST_08239,Savings,2022-05-27,-118.9,BR039,RM_014
ACC_008316,CUST_08316,Savings,2026-03-07,-1733.79,BR039,RM_010
ACC_008332,CUST_08332,Savings,2022-06-14,-2855.29,BR049,RM_075
ACC_008382,CUST_08382,Savings,2023-04-12,-4624.33,BR019,RM_029
ACC_008391,CUST_08391,Savings,2025-09-17,-820.17,BR016,RM_052
ACC_008456,CUST_08456,Savings,2022-05-27,-4324.52,BR045,RM_096
ACC_008505,CUST_08505,Savings,2022-04-11,-629.82,BR023,RM_040
ACC_008509,CUST_08509,Savings,2022-07-30,-1441.55,BR044,RM_037
ACC_008577,CUST_08577,Savings,2022-05-19,-1371.79,BR007,RM_030
ACC_008634,CUST_08634,Savings,2026-07-16,-2831.23,BR014,RM_022
ACC_008691,CUST_08691,Savings,2026-07-03,-1665.23,BR004,RM_017
ACC_008703,CUST_08703,Savings,2021-06-26,-298.37,BR001,RM_026
ACC_008797,CUST_08797,Savings,2025-02-13,-2366.36,BR038,RM_065
ACC_008798,CUST_08798,Savings,2026-01-07,-3357.16,BR045,RM_048
ACC_008845,CUST_08845,Savings,2024-04-03,-3277.27,BR042,RM_042
ACC_008862,CUST_08862,Savings,2024-01-21,-1323.57,BR047,RM_072
ACC_008878,CUST_08878,Savings,2023-09-29,-4683.23,BR010,RM_025
ACC_008883,CUST_08883,Savings,2023-12-31,-1417.06,BR009,RM_084
ACC_008924,CUST_08924,Savings,2023-05-13,-4533.22,BR010,RM_042
ACC_008957,CUST_08957,Savings,2022-02-03,-2258.96,BR044,RM_099
ACC_009036,CUST_09036,Savings,2025-01-02,-4257.46,BR050,RM_008
ACC_009228,CUST_09228,Savings,2025-06-10,-4971.58,BR008,RM_035
ACC_009245,CUST_09245,Savings,2025-10-29,-1816.57,BR034,RM_067
ACC_009591,CUST_09591,Savings,2024-03-06,-3884.26,BR022,RM_081
ACC_009934,CUST_09934,Savings,2021-05-03,-644.04,BR018,RM_053
ACC_009947,CUST_09947,Savings,2025-09-22,-771.86,BR002,RM_082
ACC_010021,CUST_10021,Savings,2024-10-30,-3301.3,BR009,RM_032
ACC_010212,CUST_00922,Salary,2022-08-16,-114.13,BR028,RM_021
ACC_010434,CUST_07533,Savings,2026-06-03,-753.16,BR031,RM_099
ACC_010449,CUST_02336,Salary,2026-05-11,-2920.81,BR030,RM_034
ACC_010672,CUST_01155,Salary,2026-08-07,-3820.95,BR043,RM_060
ACC_010703,CUST_02778,Savings,2026-03-11,-1415.89,BR039,RM_037
ACC_010754,CUST_02129,Savings,2025-11-16,-3858.08,BR008,RM_060
ACC_010777,CUST_05403,Savings,2025-08-21,-307.34,BR034,RM_044
ACC_010882,CUST_00571,Savings,2023-08-02,-202.09,BR017,RM_015
ACC_010986,CUST_02843,Savings,2021-08-01,-1063.1,BR013,RM_031
ACC_011090,CUST_00194,Savings,2026-02-15,-3324.96,BR046,RM_080
ACC_011189,CUST_07051,Salary,2026-07-24,-3574.49,BR043,RM_028
ACC_011201,CUST_02126,Savings,2025-05-05,-4465.48,BR020,RM_029
ACC_011340,CUST_05892,Savings,2023-09-01,-257.25,BR011,RM_030
ACC_011599,CUST_03811,Savings,2021-12-03,-1615.56,BR040,RM_037
ACC_011630,CUST_03103,Salary,2026-06-11,-4677.9,BR043,RM_089
ACC_011652,CUST_01472,Savings,2025-09-27,-1599.77,BR037,RM_053
ACC_011832,CUST_09743,Savings,2026-04-04,-772.52,BR018,RM_065
ACC_011936,CUST_10190,Savings,2024-08-11,-3920.81,BR023,RM_064
ACC_012117,CUST_08412,Savings,2026-05-12,-463.49,BR032,RM_059
ACC_012136,CUST_04542,Savings,2026-05-02,-4232.85,BR038,RM_070
ACC_012243,CUST_05690,Savings,2025-05-26,-166.83,BR012,RM_034
ACC_012268,CUST_04668,Savings,2026-01-31,-3553.35,BR038,RM_019
ACC_012410,CUST_09052,Savings,2025-11-12,-4273.4,BR043,RM_081
ACC_012458,CUST_09076,Savings,2026-02-18,-1243.9,BR009,RM_028
ACC_012465,CUST_00157,Savings,2025-10-18,-4228.15,BR005,RM_007
ACC_012522,CUST_07494,Savings,2025-05-05,-3949.7,BR017,RM_087
ACC_012614,CUST_09704,Savings,2026-07-30,-4399.35,BR040,RM_060
ACC_012933,CUST_01403,Savings,2026-06-24,-4609.92,BR032,RM_023
ACC_013108,CUST_06987,Savings,2025-05-16,-529.36,BR031,RM_001
ACC_013202,CUST_03317,Savings,2026-06-13,-4407.45,BR036,RM_045
ACC_013277,CUST_06224,Savings,2025-12-28,-4207.36,BR023,RM_002
ACC_013348,CUST_07904,Savings,2025-04-25,-3184.8,BR005,RM_091
ACC_013437,CUST_05831,Salary,2023-01-01,-687.05,BR030,RM_084
ACC_013610,CUST_09064,Savings,2026-07-26,-4996.11,BR015,RM_060
ACC_013697,CUST_08996,Savings,2024-04-03,-1454.65,BR012,RM_058
ACC_013908,CUST_05703,Savings,2025-09-12,-4486.54,BR004,RM_085
ACC_013941,CUST_03484,Savings,2024-02-23,-3977.77,BR043,RM_073
