Complaint_ID,Customer_ID,Complaint_Date,Category,Channel,Resolution_TAT_Days,CSAT_Score
CMP_0000002,CUST_09740,2022-02-05,Service,Phone,8,5
CMP_0000004,CUST_03621,2025-09-02,Service,Digital,6,3
CMP_0000006,CUST_01639,2023-10-30,Service,Digital,2,4
CMP_0000007,CUST_06546,2023-02-24,Service,Digital,1,5
CMP_0000012,CUST_04275,2023-12-08,Service,Branch,1,4
CMP_0000014,CUST_01672,2022-07-19,Service,Phone,3,1
CMP_0000018,CUST_05018,2022-07-12,Service,Branch,3,5
CMP_0000019,CUST_07093,2024-05-11,Fees,Branch,3,4
CMP_0000025,CUST_02352,2022-07-12,KYC,Phone,5,1
CMP_0000029,CUST_00592,2023-08-14,Service,Digital,1,4
CMP_0000033,CUST_06432,2022-09-12,Fees,Phone,4,3
CMP_0000034,CUST_07179,2024-09-30,Service,Phone,4,3
CMP_0000035,CUST_09033,2025-03-04,KYC,Phone,5,5
CMP_0000036,CUST_04722,2024-04-17,Service,Digital,2,5
CMP_0000043,CUST_08176,2022-05-05,KYC,Digital,14,2
CMP_0000046,CUST_09110,2022-03-19,KYC,Branch,2,5
CMP_0000047,CUST_00390,2022-04-13,Service,Digital,20,3
CMP_0000048,CUST_09339,2024-10-14,Service,Phone,10,4
CMP_0000049,CUST_09042,2022-02-05,Fraud,Digital,2,5
CMP_0000053,CUST_03568,2022-09-25,KYC,Digital,11,2
CMP_0000055,CUST_03340,2022-09-01,Service,Digital,4,1
CMP_0000056,CUST_02070,2024-04-20,KYC,Phone,4,4
CMP_0000057,CUST_07138,2023-06-11,Service,Branch,4,4
CMP_0000058,CUST_00164,2023-04-07,Fees,Phone,4,4
CMP_0000060,CUST_09842,2022-01-26,Service,Branch,4,4
CMP_0000062,CUST_00944,2023-10-26,Fees,Phone,5,3
CMP_0000063,CUST_01744,2023-04-01,KYC,Digital,5,5
CMP_0000064,CUST_07186,2025-08-25,Service,Phone,3,4
CMP_0000072,CUST_07204,2024-04-21,Fraud,Digital,10,3
CMP_0000074,CUST_05344,2026-05-13,Fees,Branch,11,5
CMP_0000075,CUST_08008,2023-06-19,Fraud,Branch,3,2
CMP_0000077,CUST_09501,2023-01-31,KYC,Phone,3,5
CMP_0000086,CUST_07546,2022-06-24,Service,Phone,14,5
CMP_0000088,CUST_00136,2022-03-26,Fees,Digital,2,3
CMP_0000092,CUST_01008,2024-06-14,Service,Digital,14,1
CMP_0000094,CUST_05706,2026-01-21,KYC,Branch,2,5
CMP_0000095,CUST_04722,2025-03-10,Fees,Branch,12,3
CMP_0000098,CUST_07711,2022-01-13,Fraud,Digital,7,5
CMP_0000099,CUST_01851,2024-06-21,Service,Digital,3,5
CMP_0000100,CUST_03578,2025-07-31,Fees,Digital,4,3
CMP_0000101,CUST_08514,2022-08-13,Fraud,Phone,6,2
CMP_0000102,CUST_01446,2025-12-31,KYC,Branch,10,3
CMP_0000105,CUST_08815,2024-05-17,Fees,Phone,5,2
CMP_0000106,CUST_08944,2023-04-03,Service,Branch,16,5
CMP_0000113,CUST_08469,2022-07-07,Fees,Phone,1,4
CMP_0000115,CUST_01023,2022-08-05,KYC,Branch,6,4
CMP_0000116,CUST_07182,2022-05-24,Fees,Phone,8,5
CMP_0000120,CUST_05160,2024-03-18,Service,Branch,2,5
CMP_0000121,CUST_09985,2023-12-27,Service,Branch,5,4
CMP_0000123,CUST_00847,2025-06-20,Service,Digital,7,1
CMP_0000125,CUST_01363,2022-09-03,Service,Phone,3,5
CMP_0000126,CUST_07166,2026-01-22,Fees,Phone,5,4
CMP_0000132,CUST_06880,2022-05-26,Fraud,Phone,13,4
CMP_0000133,CUST_05927,2024-07-08,Service,Branch,2,5
CMP_0000134,CUST_09036,2022-06-17,KYC,Branch,8,5
CMP_0000135,CUST_02144,2024-11-20,Service,Branch,3,4
CMP_0000136,CUST_08938,2025-03-18,Fees,Phone,6,4
CMP_0000139,CUST_02437,2022-08-14,Service,Phone,7,4
CMP_0000140,CUST_01177,2025-04-03,Fees,Digital,8,4
CMP_0000142,CUST_07262,2024-06-02,Fees,Digital,5,2
CMP_0000143,CUST_03075,2023-11-26,KYC,Digital,12,4
CMP_0000146,CUST_04843,2023-05-16,Fraud,Digital,4,4
CMP_0000149,CUST_01777,2023-11-18,Service,Phone,3,5
CMP_0000151,CUST_01753,2022-11-12,Fees,Phone,1,5
CMP_0000152,CUST_00348,2022-09-23,Fees,Branch,6,5
CMP_0000163,CUST_03264,2022-03-04,Fees,Branch,2,3
CMP_0000164,CUST_09299,2022-01-02,Service,Digital,36,2
CMP_0000165,CUST_09040,2024-06-15,Fraud,Phone,6,5
CMP_0000170,CUST_01170,2025-07-26,Service,Digital,2,5
CMP_0000173,CUST_06938,2022-01-10,Service,Phone,14,4
CMP_0000174,CUST_05040,2023-12-18,Fees,Digital,7,3
CMP_0000177,CUST_09577,2025-03-28,Service,Branch,5,5
CMP_0000179,CUST_05183,2022-12-06,Service,Digital,2,5
CMP_0000181,CUST_04004,2022-11-28,Fees,Phone,9,2
CMP_0000183,CUST_05196,2024-02-20,Fees,Phone,6,5
CMP_0000186,CUST_00254,2022-10-17,Fees,Branch,7,4
CMP_0000188,CUST_02800,2022-11-06,Fraud,Branch,24,1
CMP_0000191,CUST_09178,2023-01-06,Fraud,Branch,3,5
CMP_0000193,CUST_09944,2022-03-07,Service,Branch,10,3
CMP_0000194,CUST_02287,2023-03-06,Fees,Branch,1,5
CMP_0000197,CUST_07315,2022-04-20,Service,Digital,17,5
CMP_0000200,CUST_02545,2023-08-25,KYC,Branch,2,5
CMP_0000201,CUST_01636,2022-11-18,Fees,Branch,11,5
CMP_0000204,CUST_07441,2024-01-14,Service,Digital,4,5
CMP_0000205,CUST_00318,2024-06-10,Service,Digital,15,2
CMP_0000210,CUST_07925,2022-01-13,Fees,Phone,5,5
CMP_0000211,CUST_06639,2026-02-19,Service,Phone,12,3
CMP_0000212,CUST_09409,2022-11-30,Service,Branch,13,5
CMP_0000215,CUST_04617,2022-02-15,Fees,Branch,8,5
CMP_0000219,CUST_04626,2022-07-27,Service,Branch,2,1
CMP_0000220,CUST_09378,2023-02-24,KYC,Phone,1,3
CMP_0000222,CUST_07247,2022-12-04,Service,Phone,5,3
CMP_0000224,CUST_00672,2022-03-30,Service,Phone,33,5
CMP_0000225,CUST_04191,2023-03-08,Service,Phone,15,3
CMP_0000231,CUST_05231,2022-05-22,Service,Digital,3,5
CMP_0000232,CUST_02073,2022-04-20,Fees,Digital,10,2
CMP_0000234,CUST_06827,2025-08-13,Fraud,Branch,6,2
CMP_0000237,CUST_07472,2022-02-10,Service,Digital,8,3
CMP_0000238,CUST_03778,2022-01-02,KYC,Digital,10,5
CMP_0000241,CUST_04389,2022-03-09,Service,Branch,7,5
CMP_0000243,CUST_06549,2022-05-18,Fraud,Digital,2,3
CMP_0000246,CUST_00768,2024-01-23,Service,Digital,4,5
CMP_0000247,CUST_03540,2022-11-06,KYC,Digital,4,4
CMP_0000248,CUST_02646,2022-08-25,Fees,Branch,13,4
CMP_0000250,CUST_02439,2023-12-25,KYC,Digital,1,5
CMP_0000252,CUST_02195,2024-11-20,Fees,Branch,26,5
CMP_0000254,CUST_03940,2026-01-08,Fraud,Phone,22,5
CMP_0000260,CUST_05268,2022-04-13,Fees,Phone,1,2
CMP_0000262,CUST_09253,2022-07-14,Service,Phone,9,4
CMP_0000263,CUST_04709,2025-04-12,Service,Phone,8,3
CMP_0000264,CUST_00499,2023-06-02,Fees,Branch,4,1
CMP_0000267,CUST_04732,2024-08-14,Service,Phone,5,4
CMP_0000268,CUST_03065,2022-07-27,KYC,Phone,8,5
CMP_0000269,CUST_05693,2022-03-04,Fees,Phone,13,4
CMP_0000272,CUST_07136,2023-01-15,Fees,Branch,23,5
CMP_0000274,CUST_05583,2026-01-14,Service,Digital,13,3
