Log_ID,Customer_ID,Login_Date,App_Page,Session_Duration_Min,Feature_Used
LOG_00000004,CUST_05446,2025-06-23,Payments,29.6,Fund Transfer
LOG_00000007,CUST_03264,2023-07-07,Accounts,4.7,Fund Transfer
LOG_00000011,CUST_05196,2024-05-15,Accounts,16.3,Fund Transfer
LOG_00000014,CUST_06681,2024-10-03,Home,5.6,Bill Payment
LOG_00000016,CUST_03095,2024-03-23,Home,12.6,Bill Payment
LOG_00000017,CUST_07745,2024-01-10,Payments,4.8,Login
LOG_00000021,CUST_06394,2023-01-07,Profile,21.1,Fund Transfer
LOG_00000022,CUST_05061,2025-04-21,Transfers,8.1,KYC Upload
LOG_00000024,CUST_00801,2023-07-08,KYC,14.3,Profile
LOG_00000030,CUST_02800,2025-08-22,Payments,14.2,Profile
LOG_00000033,CUST_04456,2023-08-15,Home,12.2,Card Management
LOG_00000034,CUST_02618,2023-01-24,Accounts,6.3,Bill Payment
LOG_00000036,CUST_03145,2023-07-22,Accounts,5.7,Card Management
LOG_00000039,CUST_01500,2023-06-07,KYC,4.1,Card Management
LOG_00000040,CUST_02057,2025-01-28,Payments,4.3,KYC Upload
LOG_00000043,CUST_04199,2023-04-11,Cards,3.2,Login
LOG_00000045,CUST_00133,2023-08-17,Home,5.3,Balance Inquiry
LOG_00000048,CUST_06413,2023-12-05,Payments,5.7,Balance Inquiry
LOG_00000049,CUST_04997,2026-01-18,Payments,7.1,Fund Transfer
LOG_00000055,CUST_01193,2024-02-22,KYC,3.6,Balance Inquiry
LOG_00000056,CUST_08496,2024-09-06,Payments,6.1,Profile
LOG_00000061,CUST_10195,2023-01-25,Loans,4.4,Profile
LOG_00000069,CUST_07367,2024-06-03,Accounts,5.4,Card Management
LOG_00000075,CUST_06741,2023-06-22,Profile,3.2,Card Management
LOG_00000079,CUST_02901,2023-05-03,Cards,13.6,Balance Inquiry
LOG_00000081,CUST_03235,2026-05-30,Loans,1.8,Profile
LOG_00000083,CUST_03058,2023-05-02,Transfers,5.1,Fund Transfer
LOG_00000090,CUST_10190,2023-03-01,Payments,9.8,Balance Inquiry
LOG_00000091,CUST_05627,2024-10-21,Loans,4.3,KYC Upload
LOG_00000092,CUST_06283,2025-08-12,Home,14.4,Fund Transfer
LOG_00000099,CUST_07168,2025-01-26,Home,9.6,Balance Inquiry
LOG_00000100,CUST_05680,2023-06-25,Profile,11.9,Fund Transfer
LOG_00000101,CUST_03489,2023-09-19,Transfers,5.6,Fund Transfer
LOG_00000102,CUST_07553,2024-12-21,KYC,33.0,Bill Payment
LOG_00000103,CUST_03401,2023-12-13,Cards,5.1,Profile
LOG_00000104,CUST_07426,2023-12-17,Accounts,10.8,Profile
LOG_00000107,CUST_03102,2024-11-03,Transfers,4.4,Profile
LOG_00000108,CUST_01105,2025-04-01,Profile,13.7,Balance Inquiry
LOG_00000110,CUST_06677,2023-03-19,KYC,8.7,Profile
LOG_00000111,CUST_00488,2025-07-18,Transfers,8.3,Fund Transfer
LOG_00000112,CUST_04029,2023-08-08,Loans,11.3,Card Management
LOG_00000116,CUST_05518,2024-06-19,Transfers,16.5,Balance Inquiry
LOG_00000117,CUST_01826,2025-10-11,Cards,27.3,Fund Transfer
LOG_00000118,CUST_06570,2023-11-14,Loans,3.4,KYC Upload
LOG_00000119,CUST_00724,2023-10-04,Home,4.3,Fund Transfer
LOG_00000121,CUST_04878,2023-04-26,Home,22.0,Profile
LOG_00000124,CUST_09759,2023-09-04,Home,2.0,KYC Upload
LOG_00000125,CUST_06079,2023-08-13,Loans,3.7,Bill Payment
LOG_00000127,CUST_09440,2025-05-25,Loans,3.6,Login
LOG_00000133,CUST_03621,2025-04-24,Payments,1.5,
LOG_00000139,CUST_09259,2024-02-04,KYC,4.2,KYC Upload
LOG_00000142,CUST_05301,2025-04-24,Cards,7.8,Profile
LOG_00000145,CUST_06696,2025-11-01,Loans,9.8,Card Management
LOG_00000146,CUST_07202,2024-06-16,Payments,14.5,Profile
LOG_00000147,CUST_00678,2023-09-19,Cards,6.1,Login
LOG_00000148,CUST_07258,2025-03-26,KYC,6.3,KYC Upload
LOG_00000164,CUST_09514,2024-02-25,Profile,4.1,Balance Inquiry
LOG_00000165,CUST_02217,2023-07-11,Cards,3.5,Login
LOG_00000168,CUST_01994,2024-05-30,Home,13.2,Balance Inquiry
LOG_00000173,CUST_05568,2024-10-20,Payments,1.2,Card Management
LOG_00000175,CUST_03861,2024-07-14,Accounts,1.4,Card Management
LOG_00000186,CUST_01046,2023-04-08,Loans,1.1,Fund Transfer
LOG_00000187,CUST_02110,2023-02-11,Accounts,12.2,Profile
LOG_00000190,CUST_05447,2023-01-01,Profile,14.2,Bill Payment
LOG_00000191,CUST_05375,2026-01-30,Home,11.3,Login
LOG_00000194,CUST_07517,2025-12-08,Accounts,6.9,Fund Transfer
LOG_00000197,CUST_05419,2023-06-19,Loans,8.8,Bill Payment
LOG_00000203,CUST_07619,2024-06-18,Loans,7.8,KYC Upload
LOG_00000207,CUST_06623,2024-12-10,Loans,10.5,KYC Upload
LOG_00000209,CUST_05680,2023-10-29,Cards,5.5,Login
LOG_00000210,CUST_07230,2024-04-14,Payments,10.7,Balance Inquiry
LOG_00000215,CUST_00979,2025-03-08,Cards,1.6,Balance Inquiry
LOG_00000217,CUST_01639,2024-05-26,Cards,10.6,Bill Payment
LOG_00000221,CUST_03550,2023-01-21,Profile,8.0,Profile
LOG_00000224,CUST_10089,2024-06-16,Payments,6.4,Profile
LOG_00000227,CUST_10177,2023-01-25,Profile,8.8,Balance Inquiry
LOG_00000228,CUST_07739,2024-06-01,KYC,2.5,
LOG_00000233,CUST_01994,2024-11-21,Profile,6.9,Login
LOG_00000235,CUST_02268,2023-02-21,Loans,10.8,Login
LOG_00000237,CUST_02676,2023-11-24,Loans,9.3,Login
LOG_00000241,CUST_07110,2024-08-19,Loans,9.3,KYC Upload
LOG_00000242,CUST_00675,2023-05-20,Loans,1.8,Login
LOG_00000243,CUST_02788,2023-11-27,Payments,5.9,Balance Inquiry
LOG_00000244,CUST_01808,2025-12-14,Transfers,17.4,Fund Transfer
LOG_00000247,CUST_08111,2023-05-08,Home,8.9,Login
LOG_00000248,CUST_05042,2025-08-28,Loans,7.5,Login
LOG_00000251,CUST_09303,2025-01-21,Accounts,7.7,Balance Inquiry
LOG_00000252,CUST_08786,2024-09-04,Profile,10.8,Profile
LOG_00000257,CUST_07840,2023-08-07,Payments,3.5,Card Management
LOG_00000259,CUST_06301,2024-01-21,Transfers,9.0,Balance Inquiry
LOG_00000261,CUST_09823,2024-01-20,Accounts,7.6,Balance Inquiry
LOG_00000265,CUST_02847,2023-02-20,Accounts,3.6,Bill Payment
LOG_00000268,CUST_01758,2023-03-18,Payments,5.3,Fund Transfer
LOG_00000269,CUST_02254,2023-01-27,Accounts,11.8,Balance Inquiry
LOG_00000270,CUST_01109,2023-12-29,KYC,7.0,Bill Payment
LOG_00000273,CUST_08055,2025-02-09,Cards,8.6,Balance Inquiry
LOG_00000274,CUST_07909,2023-09-01,Home,1.9,Bill Payment
LOG_00000275,CUST_00273,2023-06-06,Loans,6.9,Card Management
LOG_00000279,CUST_05157,2023-06-09,Payments,20.3,Fund Transfer
LOG_00000290,CUST_08033,2026-03-21,Home,16.2,Card Management
LOG_00000291,CUST_06955,2025-04-30,Transfers,5.2,Card Management
LOG_00000298,CUST_04174,2024-04-13,Accounts,6.2,Card Management
LOG_00000299,CUST_01053,2025-05-23,Accounts,4.3,Login
LOG_00000300,CUST_06991,2024-10-15,Payments,15.0,Card Management
LOG_00000301,CUST_08037,2023-06-26,Loans,10.3,Login
LOG_00000302,CUST_03065,2024-03-01,Loans,16.4,Fund Transfer
LOG_00000304,CUST_00986,2023-02-03,Transfers,15.3,Profile
LOG_00000306,CUST_09278,2024-07-28,Cards,3.9,Fund Transfer
LOG_00000310,CUST_03715,2023-08-19,KYC,8.8,Bill Payment
LOG_00000316,CUST_01270,2024-04-22,Payments,2.8,Card Management
LOG_00000327,CUST_09908,2023-10-25,Profile,12.0,KYC Upload
LOG_00000334,CUST_01027,2023-09-18,Home,10.7,KYC Upload
LOG_00000335,CUST_05616,2023-09-29,Loans,6.7,KYC Upload
LOG_00000342,CUST_05405,2023-07-26,KYC,9.2,Bill Payment
LOG_00000345,CUST_00645,2023-12-27,Loans,2.5,Profile
LOG_00000353,CUST_00811,2023-11-08,Transfers,9.8,Fund Transfer
LOG_00000354,CUST_03061,2023-05-14,KYC,9.4,KYC Upload
LOG_00000357,CUST_02609,2023-08-30,Accounts,11.1,Bill Payment
LOG_00000358,CUST_05687,2026-01-30,Payments,9.8,Login
LOG_00000360,CUST_00558,2023-06-20,KYC,11.5,Login
LOG_00000363,CUST_04319,2023-12-03,Accounts,10.0,Card Management
LOG_00000367,CUST_04241,2023-05-29,Profile,9.1,KYC Upload
LOG_00000370,CUST_02621,2024-03-07,KYC,6.6,Bill Payment
LOG_00000371,CUST_09706,2024-04-20,Cards,22.2,Login
LOG_00000372,CUST_08433,2023-06-17,Cards,9.7,Balance Inquiry
LOG_00000384,CUST_07581,2024-11-27,Payments,8.0,Fund Transfer
LOG_00000388,CUST_09647,2023-02-18,Home,8.8,Login
LOG_00000389,CUST_05112,2023-09-24,Payments,17.7,Fund Transfer
LOG_00000392,CUST_01262,2024-02-04,Accounts,13.1,Card Management
LOG_00000393,CUST_06859,2023-12-09,Transfers,8.7,Card Management
LOG_00000398,CUST_02075,2024-03-19,KYC,2.3,Fund Transfer
LOG_00000400,CUST_03735,2024-04-15,Cards,7.3,Bill Payment
LOG_00000401,CUST_00821,2024-02-16,Profile,32.6,Card Management
LOG_00000406,CUST_09721,2024-01-30,Payments,1.1,Balance Inquiry
LOG_00000410,CUST_03375,2023-04-01,Loans,7.3,Card Management
LOG_00000411,CUST_03303,2024-03-26,KYC,1.5,Card Management
LOG_00000413,CUST_03134,2025-04-23,Payments,33.0,Bill Payment
LOG_00000417,CUST_03404,2026-04-05,Cards,19.3,Fund Transfer
LOG_00000421,CUST_09162,2023-12-11,Transfers,8.6,KYC Upload
LOG_00000423,CUST_01712,2025-07-10,Home,8.6,Login
LOG_00000432,CUST_09480,2024-10-29,Home,3.8,Card Management
LOG_00000435,CUST_06110,2023-03-17,Accounts,6.1,Profile
LOG_00000437,CUST_02540,2024-02-21,Accounts,2.3,Fund Transfer
LOG_00000444,CUST_09688,2023-12-16,KYC,18.4,KYC Upload
LOG_00000450,CUST_02414,2023-03-27,Loans,15.9,Card Management
LOG_00000454,CUST_06639,2023-12-23,Payments,5.7,Profile
LOG_00000456,CUST_02006,2024-07-05,Home,11.4,Bill Payment
LOG_00000457,CUST_05503,2024-12-30,KYC,8.3,Card Management
LOG_00000458,CUST_05305,2023-03-04,Profile,11.9,Profile
LOG_00000459,CUST_02606,2024-06-08,Home,6.5,Balance Inquiry
LOG_00000462,CUST_09230,2025-05-06,Profile,6.1,Bill Payment
LOG_00000467,CUST_00629,2023-05-14,Home,19.0,KYC Upload
LOG_00000473,CUST_03870,2025-09-10,Cards,5.4,Bill Payment
LOG_00000476,CUST_04896,2024-05-25,Payments,1.0,Card Management
LOG_00000478,CUST_06011,2023-01-24,Accounts,15.0,Card Management
LOG_00000487,CUST_07831,2023-01-31,KYC,10.7,Fund Transfer
LOG_00000488,CUST_06933,2024-06-24,Transfers,5.4,Profile
LOG_00000491,CUST_03932,2023-12-10,Loans,14.1,Profile
LOG_00000493,CUST_04292,2024-01-28,KYC,11.8,Profile
LOG_00000495,CUST_04455,2023-10-20,Transfers,3.4,Login
LOG_00000498,CUST_04104,2023-02-23,Cards,3.6,
LOG_00000507,CUST_08489,2023-02-14,KYC,12.2,Profile
LOG_00000508,CUST_02943,2023-10-10,Transfers,9.1,Login
LOG_00000509,CUST_06563,2024-08-04,Loans,3.5,Profile
LOG_00000510,CUST_04983,2023-07-06,Transfers,10.3,KYC Upload
LOG_00000513,CUST_07910,2023-04-21,Transfers,6.0,Login
LOG_00000515,CUST_00789,2024-04-26,Home,1.2,Fund Transfer
LOG_00000517,CUST_07224,2023-09-28,Payments,10.3,Balance Inquiry
LOG_00000521,CUST_01495,2023-02-16,Loans,19.3,Profile
LOG_00000522,CUST_09698,2023-03-30,Transfers,5.1,Bill Payment
LOG_00000524,CUST_06031,2024-09-27,Profile,17.7,Login
LOG_00000525,CUST_10152,2024-07-09,KYC,32.6,Fund Transfer
LOG_00000526,CUST_03099,2023-07-26,Transfers,10.5,Card Management
LOG_00000533,CUST_01103,2023-04-15,Profile,6.2,Balance Inquiry
LOG_00000534,CUST_05744,2025-05-19,Home,12.6,Balance Inquiry
LOG_00000535,CUST_02872,2023-06-07,Cards,11.5,Bill Payment
LOG_00000536,CUST_09578,2023-08-25,Transfers,2.2,KYC Upload
LOG_00000539,CUST_07185,2025-06-24,Loans,4.6,Card Management
LOG_00000541,CUST_00557,2023-02-02,Accounts,10.2,KYC Upload
LOG_00000542,CUST_08687,2023-02-06,Transfers,16.4,KYC Upload
LOG_00000543,CUST_02774,2025-12-26,Loans,13.8,Login
LOG_00000545,CUST_09781,2023-02-01,Home,5.3,KYC Upload
LOG_00000550,CUST_06548,2024-07-26,KYC,11.7,Balance Inquiry
LOG_00000561,CUST_08180,2023-02-19,Accounts,5.0,KYC Upload
LOG_00000566,CUST_03987,2026-04-17,Home,3.3,KYC Upload
