Loan_ID,Customer_ID,Product,Disbursement_Date,Loan_Amount,Interest_Rate,Tenure,DPD_Days,NPA_Flag
LOAN_0000002,CUST_9999,Personal,2026-03-18,669397.87,13.1,36,8,N
LOAN_0000347,CUST_9999,Home,2025-01-16,4812681.86,9.93,240,0,N
LOAN_0000804,CUST_9999,Auto,2023-03-07,2262122.9,9.73,72,4,N
LOAN_0000933,CUST_9999,Education,2026-01-09,1467690.18,11.21,84,3,N
LOAN_0000938,CUST_9999,Home,2026-02-03,2984200.92,7.08,240,0,N
LOAN_0002135,CUST_9999,Home,2023-03-09,5782294.12,9.78,240,4,N
LOAN_0002555,CUST_9999,Auto,2024-06-27,1081410.77,11.66,36,7,N
LOAN_0002626,CUST_9999,Personal,2023-07-02,569160.15,13.79,60,14,N
LOAN_0002668,CUST_9999,Personal,2023-05-24,114442.81,12.19,60,8,N
LOAN_0002715,CUST_9999,Education,2021-10-18,1072539.04,12.44,120,1,N
LOAN_0002796,CUST_9999,Auto,2023-06-28,1092310.26,12.48,60,5,N
LOAN_0002943,CUST_9999,Home,2022-07-27,4983729.08,8.62,120,2,N
LOAN_0003278,CUST_9999,Home,2025-01-22,2079374.74,7.74,120,1,N
LOAN_0003284,CUST_9999,Education,2021-09-08,459928.85,10.03,60,2,N
LOAN_0003455,CUST_9999,Education,2021-02-21,1861888.78,10.06,84,4,N
LOAN_0003649,CUST_9999,Home,2021-07-24,3698405.08,9.61,300,1,N
LOAN_0003815,CUST_9999,Personal,2021-08-18,849407.14,13.48,36,12,N
LOAN_0003975,CUST_9999,Auto,2024-09-29,1218933.41,10.42,60,2,N
LOAN_0004104,CUST_9999,Personal,2024-11-09,677599.98,17.76,24,25,N
LOAN_0004128,CUST_9999,Personal,2021-04-11,304304.72,10.51,48,2,N
LOAN_0004338,CUST_9999,Home,2021-07-31,3178637.5,7.88,180,0,N
LOAN_0004497,CUST_9999,Personal,2021-08-02,1154323.59,14.49,24,6,N
LOAN_0004558,CUST_9999,Home,2024-07-31,7523818.49,8.88,240,8,N
LOAN_0004791,CUST_9999,Auto,2023-06-23,1968668.98,9.22,60,4,N
LOAN_0004806,CUST_9999,Home,2022-03-03,4921248.28,8.69,300,2,N
