Loan_ID,Customer_ID,Product,Disbursement_Date,Loan_Amount,Interest_Rate,Tenure,DPD_Days,NPA_Flag
LOAN_0000024,CUST_01443,Personal,2021-11-06,1406152.38,15.78,36,90,Y
LOAN_0000942,CUST_03187,Auto,2023-02-15,1508133.68,12.67,48,90,Y
LOAN_0001011,CUST_05372,Personal,2021-04-07,1179642.5,15.18,36,90,Y
LOAN_0001038,CUST_07638,Personal,2023-01-06,575141.63,12.47,48,90,Y
LOAN_0001454,CUST_00502,Home,2024-11-16,5277653.0,10.31,120,90,Y
LOAN_0001665,CUST_00776,Home,2024-12-22,3690148.44,9.89,180,90,Y
LOAN_0002041,CUST_02797,Auto,2022-05-04,1035261.55,12.55,48,90,Y
LOAN_0002334,CUST_02585,Home,2023-01-14,9745750.79,7.09,120,90,Y
LOAN_0003689,CUST_04167,Auto,2024-01-15,590604.05,11.86,48,90,Y
LOAN_0004395,CUST_06583,Personal,2025-05-09,545440.55,17.22,36,90,Y
