Txn_ID,Account_ID,Txn_Date,Txn_Type,Amount,Channel,Merchant_Category
TXN_00000041,ACC_9999,2025-07-27,Credit,6803.02,ATM,Other
TXN_00000346,ACC_9999,2022-01-06,Debit,4647.55,NetBanking,Travel
TXN_00000431,ACC_9999,2024-08-12,Debit,740.73,ATM,Utilities
TXN_00000461,ACC_9999,2021-03-15,Debit,1051.79,ATM,Education
TXN_00000868,ACC_9999,2022-04-26,Debit,8517.75,NetBanking,Salary
TXN_00000905,ACC_9999,2021-12-21,Debit,12272.25,Branch,Healthcare
TXN_00001025,ACC_9999,2021-09-29,Credit,6534.92,NetBanking,Other
TXN_00001084,ACC_9999,2025-09-16,Debit,5993.61,UPI,Utilities
TXN_00001144,ACC_9999,2023-06-07,Debit,5283.02,UPI,Utilities
TXN_00001326,ACC_9999,2024-09-20,Debit,1316.26,ATM,Retail
TXN_00001425,ACC_9999,2023-09-08,Debit,450.52,UPI,Travel
TXN_00001628,ACC_9999,2023-01-24,Credit,4511.19,ATM,Healthcare
TXN_00001679,ACC_9999,2026-07-22,Credit,6274.9,UPI,Education
TXN_00001799,ACC_9999,2024-06-03,Credit,4865.85,NetBanking,Retail
TXN_00001950,ACC_9999,2024-04-28,Credit,8259.6,UPI,Transfer
TXN_00001978,ACC_9999,2025-11-01,Credit,3765.83,UPI,Other
TXN_00002026,ACC_9999,2022-09-02,Debit,7649.98,UPI,Education
TXN_00002300,ACC_9999,2021-06-25,Credit,4359.25,NetBanking,Other
TXN_00002382,ACC_9999,2021-01-08,Credit,4276.83,UPI,Education
TXN_00002419,ACC_9999,2025-03-12,Credit,1414.96,ATM,Transfer
TXN_00002434,ACC_9999,2024-02-10,Credit,22575.56,UPI,Utilities
TXN_00002499,ACC_9999,2024-11-09,Debit,7240.02,UPI,Utilities
TXN_00002514,ACC_9999,2026-04-11,Credit,11044.71,UPI,Travel
TXN_00002638,ACC_9999,2022-03-03,Debit,1296.36,UPI,Healthcare
TXN_00002676,ACC_9999,2023-08-03,Debit,523.71,Branch,Transfer
TXN_00002703,ACC_9999,2025-09-22,Debit,4465.73,ATM,Transfer
TXN_00002985,ACC_9999,2022-10-12,Credit,5435.84,ATM,Travel
TXN_00003005,ACC_9999,2022-02-07,Credit,4266.99,ATM,Healthcare
TXN_00003153,ACC_9999,2026-07-23,Credit,5672.73,UPI,Salary
TXN_00003320,ACC_9999,2025-06-15,Credit,5742.21,ATM,Dining
TXN_00003343,ACC_9999,2021-06-30,Debit,1102.35,UPI,Retail
TXN_00003390,ACC_9999,2021-08-05,Debit,2843.13,NetBanking,Transfer
TXN_00003467,ACC_9999,2021-08-18,Debit,2815.81,NetBanking,Dining
TXN_00003474,ACC_9999,2024-09-10,Credit,4924.18,ATM,Retail
TXN_00003512,ACC_9999,2023-12-29,Credit,33845.65,UPI,Retail
TXN_00003798,ACC_9999,2024-04-01,Credit,11692.52,UPI,Healthcare
TXN_00003859,ACC_9999,2022-03-22,Credit,28518.61,UPI,Investment
TXN_00003906,ACC_9999,06/04/2023,Debit,1407.15,ATM,Other
TXN_00003934,ACC_9999,2026-03-19,Credit,6417.45,UPI,Investment
TXN_00003993,ACC_9999,2025-04-03,Credit,306.13,UPI,Salary
TXN_00004101,ACC_9999,2023-10-21,Credit,3591.9,NetBanking,Other
TXN_00004165,ACC_9999,2024-06-16,Debit,2263.23,UPI,Dining
TXN_00004274,ACC_9999,2021-02-03,Debit,669.29,UPI,Salary
TXN_00004295,ACC_9999,2023-08-15,Credit,6299.41,UPI,Utilities
TXN_00004684,ACC_9999,2023-11-20,Debit,5362.39,UPI,Salary
TXN_00004737,ACC_9999,2024-06-23,Debit,8980.62,NetBanking,Healthcare
TXN_00004739,ACC_9999,2026-02-24,Credit,655.42,NetBanking,Transfer
TXN_00005178,ACC_9999,2023-01-13,Credit,26138.64,UPI,Investment
TXN_00005238,ACC_9999,2025-12-25,Credit,4988.3,UPI,Travel
TXN_00005282,ACC_9999,2023-12-13,Credit,6337.16,UPI,Education
TXN_00005492,ACC_9999,2024-01-11,Debit,4687.38,ATM,Investment
TXN_00005566,ACC_9999,2024-06-13,Debit,840.5,UPI,Other
TXN_00005703,ACC_9999,2025-03-28,Credit,13190.63,Branch,Travel
TXN_00005772,ACC_9999,2024-01-10,Credit,5408.69,ATM,Other
TXN_00005775,ACC_9999,2022-10-04,Credit,35932.99,ATM,Education
TXN_00005974,ACC_9999,2024-02-18,Credit,22352.33,UPI,Utilities
TXN_00006050,ACC_9999,2022-09-07,Debit,619.55,NetBanking,Retail
TXN_00006102,ACC_9999,2021-04-16,Debit,976.45,ATM,Investment
TXN_00006234,ACC_9999,2024-06-06,Debit,1923.45,UPI,Salary
TXN_00006263,ACC_9999,2022-07-25,Credit,14034.22,NetBanking,Retail
TXN_00006298,ACC_9999,2021-11-21,Credit,15204.36,UPI,Investment
TXN_00006307,ACC_9999,2026-05-16,Credit,9498.94,Branch,Transfer
TXN_00006377,ACC_9999,2021-05-21,Credit,2413.84,NetBanking,Salary
TXN_00006653,ACC_9999,2023-04-29,Credit,709.02,ATM,Other
TXN_00006658,ACC_9999,2023-07-15,Credit,4954.3,Branch,Investment
TXN_00006890,ACC_9999,2025-04-15,Debit,953.92,ATM,Investment
TXN_00006891,ACC_9999,2025-01-05,Credit,14555.77,ATM,Dining
TXN_00006899,ACC_9999,2023-06-05,Credit,2438.51,NetBanking,Education
TXN_00007059,ACC_9999,2023-12-24,Debit,10699.03,UPI,Other
TXN_00007218,ACC_9999,2021-05-19,Debit,6797.96,NetBanking,Investment
TXN_00007378,ACC_9999,2022-09-17,Debit,774.69,NetBanking,Transfer
TXN_00007501,ACC_9999,2023-01-24,Debit,520.31,UPI,Retail
TXN_00007523,ACC_9999,2023-11-17,Credit,1870.48,UPI,Salary
TXN_00007529,ACC_9999,2023-06-04,Debit,2057.8,ATM,Investment
TXN_00007561,ACC_9999,2021-07-24,Debit,11319.57,NetBanking,Travel
TXN_00007686,ACC_9999,2023-07-04,Credit,5827.11,Branch,Utilities
TXN_00007712,ACC_9999,2024-10-24,Debit,9148.14,NetBanking,Other
TXN_00007893,ACC_9999,2021-10-21,Credit,3734.76,NetBanking,Investment
TXN_00008041,ACC_9999,2023-08-13,Credit,1307.12,NetBanking,Education
TXN_00008253,ACC_9999,2025-03-28,Credit,6010.93,UPI,Travel
TXN_00008437,ACC_9999,2025-12-09,Debit,2078.43,UPI,Other
TXN_00008450,ACC_9999,2021-07-11,Debit,10769.02,UPI,Healthcare
TXN_00008512,ACC_9999,2021-01-03,Debit,3673.53,NetBanking,Salary
TXN_00008520,ACC_9999,2025-11-14,Credit,34570.73,ATM,Transfer
TXN_00008647,ACC_9999,2025-10-29,Debit,10809.35,UPI,Utilities
TXN_00008754,ACC_9999,2022-12-14,Debit,939.23,NetBanking,Transfer
TXN_00008899,ACC_9999,2025-08-19,Debit,1048.18,ATM,Retail
TXN_00009014,ACC_9999,2022-08-16,Debit,576.52,UPI,Education
TXN_00009042,ACC_9999,2025-03-06,Debit,1024.3,NetBanking,Transfer
TXN_00009284,ACC_9999,2024-04-23,Credit,6446.44,Branch,Dining
TXN_00009359,ACC_9999,2024-04-18,Debit,8089.05,UPI,Retail
TXN_00009367,ACC_9999,2022-03-23,Debit,9436.19,ATM,Transfer
TXN_00009702,ACC_9999,2023-02-12,Credit,44292.94,UPI,Transfer
TXN_00009773,ACC_9999,2021-07-08,Debit,5441.56,NetBanking,Other
TXN_00009802,ACC_9999,2021-04-09,Debit,594.86,ATM,Education
TXN_00009890,ACC_9999,2022-09-02,Debit,7538.52,ATM,Salary
TXN_00009969,ACC_9999,2026-07-11,Debit,2597.02,UPI,Other
TXN_00010077,ACC_9999,2021-12-27,Credit,4514.67,NetBanking,Investment
TXN_00010244,ACC_9999,07/26/2024,Credit,9552.85,UPI,Utilities
TXN_00010382,ACC_9999,2022-08-24,Debit,14857.29,UPI,Education
TXN_00010473,ACC_9999,2026-01-25,Debit,528.07,ATM,Utilities
TXN_00010683,ACC_9999,2022-08-19,Debit,6442.88,UPI,Healthcare
TXN_00010728,ACC_9999,2025-03-02,Debit,784.47,ATM,Other
TXN_00010897,ACC_9999,2024-09-16,Credit,2135.6,NetBanking,Travel
TXN_00010921,ACC_9999,2021-01-30,Credit,2524.61,UPI,Education
TXN_00011054,ACC_9999,2025-10-07,Debit,7009.57,NetBanking,Retail
TXN_00011066,ACC_9999,2024-12-18,Credit,1100.2,UPI,Salary
TXN_00011286,ACC_9999,2025-12-17,Debit,2831.36,UPI,Salary
TXN_00011329,ACC_9999,2023-11-01,Debit,336.98,ATM,Healthcare
TXN_00011367,ACC_9999,2026-07-14,Debit,1035.13,ATM,Transfer
TXN_00011495,ACC_9999,2024-12-18,Credit,680.18,NetBanking,Travel
TXN_00011555,ACC_9999,2022-06-26,Debit,1387.29,NetBanking,Other
TXN_00011710,ACC_9999,2021-05-19,Debit,2359.24,NetBanking,Travel
TXN_00011729,ACC_9999,2024-10-26,Credit,8685.33,UPI,Other
TXN_00011741,ACC_9999,2026-06-09,Credit,1087.83,UPI,Retail
TXN_00011754,ACC_9999,2026-04-29,Debit,1223.35,UPI,Healthcare
TXN_00011786,ACC_9999,08/25/2025,Debit,2386.78,UPI,Investment
TXN_00011797,ACC_9999,2023-10-16,Debit,1634.56,NetBanking,Retail
TXN_00011936,ACC_9999,2023-07-05,Credit,7392.0,ATM,Healthcare
TXN_00012015,ACC_9999,2023-04-12,Credit,1016.07,NetBanking,Dining
TXN_00012038,ACC_9999,2021-03-16,Debit,50.0,UPI,Utilities
TXN_00012046,ACC_9999,2021-06-21,Credit,7246.86,UPI,Retail
TXN_00012085,ACC_9999,2024-08-25,Debit,9644.5,UPI,Education
TXN_00012134,ACC_9999,2021-01-13,Credit,2643.16,UPI,Transfer
TXN_00012324,ACC_9999,2026-06-29,Credit,5622.84,Branch,Salary
TXN_00012338,ACC_9999,2021-05-01,Debit,7949.03,NetBanking,Travel
TXN_00012388,ACC_9999,2022-05-04,Credit,4991.83,NetBanking,Transfer
TXN_00012427,ACC_9999,2022-09-28,Debit,8857.95,NetBanking,Healthcare
TXN_00012468,ACC_9999,2021-09-17,Debit,7316.16,UPI,Retail
TXN_00012470,ACC_9999,2023-02-13,Debit,9015.27,UPI,Education
TXN_00012516,ACC_9999,2022-06-04,Credit,18334.82,ATM,Healthcare
TXN_00012548,ACC_9999,2024-07-23,Credit,3043.2,UPI,Investment
TXN_00012608,ACC_9999,2022-05-01,Credit,4716.24,UPI,Utilities
TXN_00012747,ACC_9999,2021-08-31,Credit,3494.45,ATM,Transfer
TXN_00013041,ACC_9999,2026-07-24,Credit,7284.28,Branch,Transfer
TXN_00013426,ACC_9999,2025-03-15,Credit,2929.4,ATM,Dining
TXN_00013478,ACC_9999,2025-07-25,Credit,8699.03,UPI,Retail
TXN_00013592,ACC_9999,2021-04-07,Debit,6661.6,NetBanking,Healthcare
TXN_00013619,ACC_9999,2023-11-01,Debit,1525.16,NetBanking,Education
TXN_00013741,ACC_9999,2024-03-28,Credit,3262.17,UPI,Education
TXN_00013768,ACC_9999,2025-05-28,Debit,1917.67,UPI,Other
TXN_00013838,ACC_9999,2022-03-22,Credit,3236.4,NetBanking,Investment
TXN_00014108,ACC_9999,2023-12-18,Debit,24907.66,UPI,Travel
TXN_00014208,ACC_9999,2024-07-15,Credit,1739.14,UPI,Transfer
TXN_00014415,ACC_9999,2022-09-19,Credit,4831.58,NetBanking,Retail
TXN_00014516,ACC_9999,2025-11-30,Credit,2138.27,NetBanking,Travel
TXN_00014687,ACC_9999,2026-05-30,Debit,445.85,NetBanking,Retail
TXN_00014749,ACC_9999,2024-01-29,Debit,4678.36,ATM,Travel
TXN_00014758,ACC_9999,2022-09-09,Credit,13610.9,ATM,Healthcare
TXN_00014819,ACC_9999,2024-09-13,Credit,41554.2,ATM,Retail
TXN_00015100,ACC_9999,2023-10-29,Credit,5226.6,UPI,Education
TXN_00015251,ACC_9999,2022-05-08,Debit,1501.3,UPI,Investment
TXN_00015377,ACC_9999,2024-06-03,Debit,1172.87,UPI,Education
TXN_00015517,ACC_9999,2021-05-17,Credit,3704.74,UPI,Transfer
TXN_00015747,ACC_9999,2022-08-28,Debit,7950.76,UPI,Healthcare
TXN_00015771,ACC_9999,2021-06-14,Debit,2057.03,UPI,Transfer
TXN_00015792,ACC_9999,2025-04-04,Credit,3952.78,ATM,Dining
TXN_00015936,ACC_9999,2024-05-18,Credit,2375.28,Branch,Transfer
TXN_00016199,ACC_9999,2022-01-31,Credit,1716.13,ATM,Transfer
TXN_00016351,ACC_9999,2021-02-08,Debit,2810.21,ATM,Investment
TXN_00016418,ACC_9999,2023-03-27,Debit,2623.49,NetBanking,Investment
TXN_00016436,ACC_9999,2022-03-30,Debit,2373.61,Branch,Healthcare
TXN_00016480,ACC_9999,2025-12-26,Debit,14638.78,UPI,Education
TXN_00016630,ACC_9999,2021-09-01,Debit,3450.03,NetBanking,Other
TXN_00016821,ACC_9999,2025-03-18,Credit,1810.18,ATM,Healthcare
TXN_00016932,ACC_9999,2022-05-28,Credit,3113.53,UPI,Transfer
TXN_00016960,ACC_9999,05/18/2022,Debit,1391.41,UPI,Education
TXN_00017179,ACC_9999,2023-07-15,Credit,697.04,UPI,Transfer
