Txn_ID,Account_ID,Txn_Date,Txn_Type,Amount,Channel,Merchant_Category
TXN_00000012,ACC_008956,11/17/2023,Debit,13881.49,Branch,Dining
TXN_00000198,ACC_012863,06/29/2022,Credit,32737.5,UPI,Utilities
TXN_00000204,ACC_002565,10/24/2023,Credit,1616.79,UPI,Travel
TXN_00000277,ACC_009641,05/01/2025,Credit,10762.42,NetBanking,Other
TXN_00000321,ACC_013493,01/24/2026,Debit,3592.56,ATM,Dining
TXN_00000426,ACC_000966,12/12/2025,Credit,4095.18,UPI,Dining
TXN_00000428,ACC_000165,09/21/2025,Debit,2065.17,NetBanking,Other
TXN_00000464,ACC_006300,12/27/2022,Credit,1320.29,Branch,Transfer
TXN_00000570,ACC_009690,10/07/2023,Debit,3515.1,NetBanking,Investment
TXN_00000633,ACC_010806,07/07/2026,Debit,2909.19,UPI,Healthcare
TXN_00000657,ACC_005819,05/27/2026,Debit,7901.59,ATM,Education
TXN_00000669,ACC_013377,01/30/2022,Credit,4036.43,NetBanking,Investment
TXN_00000683,ACC_010738,03/27/2023,Debit,7664.39,Branch,Travel
TXN_00000990,ACC_009455,11/20/2024,Credit,9167.82,ATM,Travel
TXN_00001119,ACC_007437,06/26/2021,Debit,12881.07,UPI,Dining
TXN_00001136,ACC_001038,04/11/2026,Credit,23049.45,ATM,Education
TXN_00001138,ACC_004206,01/08/2021,Debit,1140.59,ATM,Transfer
TXN_00001147,ACC_008010,05/22/2025,Debit,2585.34,UPI,Investment
TXN_00001148,ACC_007553,07/10/2025,Debit,1844.14,Branch,Retail
TXN_00001208,ACC_008454,03/28/2023,Debit,3286.98,UPI,Education
TXN_00001325,ACC_006209,12/28/2024,Debit,433.86,UPI,Dining
TXN_00001419,ACC_006647,07/25/2021,Credit,1681.05,NetBanking,Healthcare
TXN_00001519,ACC_002071,06/10/2026,Credit,5552.92,UPI,Healthcare
TXN_00001548,ACC_004756,10/20/2021,Debit,1601.78,NetBanking,Investment
TXN_00001603,ACC_007923,02/23/2023,Credit,610.08,Branch,Healthcare
TXN_00001884,ACC_001380,04/02/2024,Debit,8465.36,ATM,Salary
TXN_00001905,ACC_008387,01/06/2026,Credit,3991.11,NetBanking,Travel
TXN_00001917,ACC_005675,08/02/2024,Debit,2463.8,ATM,Education
TXN_00001944,ACC_011640,02/16/2023,Debit,8230.23,UPI,Travel
TXN_00001946,ACC_011241,02/05/2026,Debit,5330.16,UPI,Transfer
TXN_00002049,ACC_002690,04/23/2021,Debit,851.93,NetBanking,Retail
TXN_00002117,ACC_000248,10/01/2025,Credit,1998.12,NetBanking,Other
TXN_00002197,ACC_013345,11/03/2024,Credit,6502.24,NetBanking,Salary
TXN_00002310,ACC_008260,01/19/2026,Debit,743.43,UPI,Education
TXN_00002398,ACC_003105,05/09/2024,Debit,6235.68,UPI,Retail
TXN_00002450,ACC_013948,03/16/2022,Credit,1086.03,UPI,Salary
TXN_00002554,ACC_009657,09/04/2022,Credit,12028.99,NetBanking,Transfer
TXN_00002688,ACC_002066,05/12/2025,Debit,466.04,UPI,Healthcare
TXN_00002762,ACC_000019,06/08/2021,Debit,2982.04,Branch,Dining
TXN_00002864,ACC_013523,01/25/2025,Credit,4854.14,UPI,Education
TXN_00002909,ACC_005269,09/07/2023,Credit,4074.01,UPI,Retail
TXN_00002911,ACC_011893,01/11/2023,Debit,7900.88,NetBanking,Utilities
