Complaint_ID,Customer_ID,Complaint_Date,Category,Channel,Resolution_TAT_Days,CSAT_Score
CMP_0000001,CUST_04670,2025-05-10,Service,Digital,8,5
CMP_0000002,CUST_09740,2022-02-05,Service,Phone,8,5
CMP_0000003,CUST_01124,2025-03-18,Fees,Phone,2,5
CMP_0000004,CUST_03621,2025-09-02,Service,Digital,6,3
CMP_0000005,CUST_03679,2024-07-10,KYC,Phone,5,3
CMP_0000006,CUST_01639,2023-10-30,Service,Digital,2,4
CMP_0000007,CUST_06546,2023-02-24,Service,Digital,1,5
CMP_0000008,CUST_07941,2022-07-06,Service,Phone,8,4
CMP_0000009,CUST_07161,2026-07-19,Fees,Branch,1,5
CMP_0000010,CUST_03184,2023-01-15,Fees,Phone,10,5
CMP_0000011,CUST_01348,2026-04-03,Fees,Phone,12,5
CMP_0000012,CUST_04275,2023-12-08,Service,Branch,1,4
CMP_0000013,CUST_06459,2026-06-19,Service,Branch,5,2
CMP_0000014,CUST_01672,2022-07-19,Service,Phone,3,1
CMP_0000015,CUST_01891,2023-09-01,Fees,Phone,5,5
CMP_0000016,CUST_04557,2024-03-09,Service,Branch,55,4
CMP_0000017,CUST_02436,2023-12-09,Service,Phone,2,3
CMP_0000018,CUST_05018,2022-07-12,Service,Branch,3,5
CMP_0000019,CUST_07093,2024-05-11,Fees,Branch,3,4
CMP_0000020,CUST_06090,2026-06-17,Service,Phone,10,4
CMP_0000021,CUST_08955,2026-01-28,Fees,Digital,1,4
CMP_0000022,CUST_02207,2026-06-23,Fees,Branch,6,5
CMP_0000023,CUST_04480,2024-01-23,Fraud,Branch,2,4
CMP_0000024,CUST_02012,2024-01-20,Service,Digital,7,3
CMP_0000025,CUST_02352,2022-07-12,KYC,Phone,5,1
CMP_0000026,CUST_05024,2025-06-12,Service,Branch,7,2
CMP_0000027,CUST_07307,2024-09-19,KYC,Digital,6,4
CMP_0000028,CUST_00270,2026-01-06,Fees,Phone,5,5
CMP_0000029,CUST_00592,2023-08-14,Service,Digital,1,4
CMP_0000030,CUST_03423,2025-08-27,Service,Branch,3,3
CMP_0000031,CUST_08427,2024-02-07,Service,Phone,1,4
CMP_0000032,CUST_01509,2025-11-01,Fraud,Branch,6,5
CMP_0000033,CUST_06432,2022-09-12,Fees,Phone,4,3
CMP_0000034,CUST_07179,2024-09-30,Service,Phone,4,3
CMP_0000035,CUST_09033,2025-03-04,KYC,Phone,5,5
CMP_0000036,CUST_04722,2024-04-17,Service,Digital,2,5
CMP_0000037,CUST_01445,2023-09-28,Fees,Branch,9,5
CMP_0000038,CUST_01038,2023-12-13,Service,Digital,2,2
CMP_0000039,CUST_01595,2025-07-30,Service,Digital,8,4
CMP_0000040,CUST_05191,2026-05-30,Fees,Digital,8,1
CMP_0000041,CUST_02428,2026-06-27,Fees,Digital,2,3
CMP_0000042,CUST_04938,2025-08-12,Service,Branch,5,5
CMP_0000043,CUST_08176,2022-05-05,KYC,Digital,14,2
CMP_0000044,CUST_06191,2026-04-13,Service,Digital,6,4
CMP_0000045,CUST_05695,2025-10-13,Fees,Digital,1,5
CMP_0000046,CUST_09110,2022-03-19,KYC,Branch,2,5
CMP_0000047,CUST_00390,2022-04-13,Service,Digital,20,3
CMP_0000048,CUST_09339,2024-10-14,Service,Phone,10,4
CMP_0000049,CUST_09042,2022-02-05,Fraud,Digital,2,5
CMP_0000050,CUST_05566,2025-09-19,Fees,Branch,71,3
CMP_0000051,CUST_03114,2025-04-27,Service,Phone,4,4
CMP_0000052,CUST_00815,2023-07-09,Service,Branch,42,2
CMP_0000053,CUST_03568,2022-09-25,KYC,Digital,11,2
CMP_0000054,CUST_04335,2025-09-18,Fees,Branch,2,2
