Account_ID,Customer_ID,Account_Type,Open_Date,Balance,Branch_ID,Relationship_Manager,Account_Type_raw
ACC_000001,CUST_00001,Savings,2025-11-09,12986.65,BR042,RM_085,Savings
ACC_000002,CUST_00002,Savings,2025-11-15,14939.79,BR019,RM_026,Savings
ACC_000003,CUST_00003,Savings,2025-03-14,5449.24,BR029,RM_086,Savings
ACC_000004,CUST_00004,Savings,2023-02-10,43403.53,BR007,RM_098,Savings
ACC_000005,CUST_00005,Salary,2024-11-11,21704.09,BR008,RM_052,Salary
ACC_000006,CUST_00006,Savings,2024-10-03,8414.13,BR021,RM_092,Savings
ACC_000007,CUST_00007,Savings,2024-10-17,42727.35,BR026,RM_010,Savings
ACC_000008,CUST_00008,Savings,2022-07-19,91830.84,BR014,RM_055,Savings
ACC_000009,CUST_00009,Savings,2025-04-22,29131.8,BR040,RM_063,Savings
ACC_000010,CUST_00010,Savings,2024-04-30,62741.09,BR002,RM_095,Savings
ACC_000011,CUST_00011,Savings,2022-02-13,17075.68,BR025,RM_073,Savings
ACC_000012,CUST_00012,Current,2021-04-06,22127.97,BR009,RM_072,Current
ACC_000013,CUST_00013,Current,2022-06-14,70531.28,BR007,RM_089,Current
ACC_000014,CUST_00014,Salary,2022-12-23,7935.19,BR034,RM_015,Salary
ACC_000015,CUST_00015,Current,2023-02-06,13202.53,BR007,RM_036,Current
ACC_000016,CUST_00016,Current,2026-07-10,26192.78,BR044,RM_001,Current
ACC_000017,CUST_00017,Savings,2021-02-14,21916.15,BR006,RM_039,Savings
ACC_000018,CUST_00018,Savings,2023-04-26,49385.09,BR007,RM_051,Savings
ACC_000019,CUST_00019,Savings,2023-02-20,184718.1,BR007,RM_011,Savings
ACC_000020,CUST_00020,Savings,2021-11-11,264448.69,BR011,RM_094,Savings
ACC_000021,CUST_00021,Current,2022-03-02,9198.25,BR010,RM_044,Current
ACC_000022,CUST_00022,Salary,2021-06-23,2419.5,BR008,RM_069,Salary
ACC_000023,CUST_00023,Current,2024-07-05,244121.55,BR017,RM_053,Current
ACC_000024,CUST_00024,Savings,2024-10-02,7475.83,BR020,RM_093,Savings
ACC_000025,CUST_00025,Savings,2021-03-26,42857.18,BR048,RM_033,Savings
ACC_000026,CUST_00026,Savings,2023-07-06,82213.59,BR034,RM_096,Savings
ACC_000027,CUST_00027,Savings,2025-07-20,5752.25,BR017,RM_041,Savings
ACC_000028,CUST_00028,Current,2022-02-11,65073.76,BR039,RM_044,Current
