Log_ID,Customer_ID,Login_Date,App_Page,Session_Duration_Min,Feature_Used
LOG_00000001,CUST_05763,2026-04-30,Home,5.3,Profile
LOG_00000002,CUST_08116,2025-04-12,KYC,9.6,Bill Payment
LOG_00000003,CUST_00952,2025-08-09,Cards,26.5,Balance Inquiry
LOG_00000004,CUST_05446,2025-06-23,Payments,29.6,Fund Transfer
LOG_00000005,CUST_01349,2026-03-09,Profile,8.4,KYC Upload
LOG_00000006,CUST_07927,2025-12-12,Accounts,15.2,Profile
LOG_00000007,CUST_03264,2023-07-07,Accounts,4.7,Fund Transfer
LOG_00000008,CUST_05433,2025-04-06,KYC,7.9,Login
LOG_00000009,CUST_00885,2026-03-05,Profile,6.0,Fund Transfer
LOG_00000010,CUST_01789,2026-05-02,Payments,4.4,Profile
LOG_00000011,CUST_05196,2024-05-15,Accounts,16.3,Fund Transfer
LOG_00000012,CUST_00387,2024-07-08,Cards,9.1,Balance Inquiry
LOG_00000013,CUST_02957,2025-06-28,Loans,4.8,Balance Inquiry
LOG_00000014,CUST_06681,2024-10-03,Home,5.6,Bill Payment
LOG_00000015,CUST_09344,2026-07-29,KYC,3.8,Login
LOG_00000016,CUST_03095,2024-03-23,Home,12.6,Bill Payment
LOG_00000017,CUST_07745,2024-01-10,Payments,4.8,Login
LOG_00000018,CUST_04087,2023-10-19,Profile,4.9,Bill Payment
LOG_00000019,CUST_06321,2023-07-14,KYC,18.2,Bill Payment
LOG_00000020,CUST_08274,2023-11-26,Accounts,19.5,Balance Inquiry
LOG_00000021,CUST_06394,2023-01-07,Profile,21.1,Fund Transfer
LOG_00000022,CUST_05061,2025-04-21,Transfers,8.1,KYC Upload
LOG_00000023,CUST_01683,2024-10-21,Transfers,5.7,Fund Transfer
LOG_00000024,CUST_00801,2023-07-08,KYC,14.3,Profile
LOG_00000025,CUST_04457,2024-05-24,KYC,6.6,Login
LOG_00000026,CUST_08733,2024-05-17,Loans,10.4,Fund Transfer
LOG_00000027,CUST_01237,2025-12-30,KYC,15.9,Bill Payment
LOG_00000028,CUST_00458,2026-07-23,Loans,21.7,Profile
LOG_00000029,CUST_02961,2024-09-05,Home,5.8,Login
LOG_00000030,CUST_02800,2025-08-22,Payments,14.2,Profile
LOG_00000031,CUST_07200,2025-05-19,KYC,4.7,KYC Upload
LOG_00000032,CUST_00932,2024-05-07,Loans,11.8,Profile
LOG_00000033,CUST_04456,2023-08-15,Home,12.2,Card Management
LOG_00000034,CUST_02618,2023-01-24,Accounts,6.3,Bill Payment
LOG_00000035,CUST_04340,2025-06-09,Payments,8.2,Profile
LOG_00000036,CUST_03145,2023-07-22,Accounts,5.7,Card Management
LOG_00000037,CUST_00259,2026-04-29,Transfers,5.1,KYC Upload
LOG_00000038,CUST_09664,2023-12-27,KYC,8.2,Balance Inquiry
LOG_00000039,CUST_01500,2023-06-07,KYC,4.1,Card Management
LOG_00000040,CUST_02057,2025-01-28,Payments,4.3,KYC Upload
LOG_00000041,CUST_07406,2026-04-08,KYC,7.8,Card Management
LOG_00000042,CUST_01969,2023-01-18,Accounts,3.3,Fund Transfer
LOG_00000043,CUST_04199,2023-04-11,Cards,3.2,Login
LOG_00000044,CUST_07550,2026-02-04,Cards,3.4,KYC Upload
LOG_00000045,CUST_00133,2023-08-17,Home,5.3,Balance Inquiry
LOG_00000046,CUST_02846,2024-12-23,Profile,4.8,Balance Inquiry
LOG_00000047,CUST_02319,2023-12-11,Loans,12.4,Profile
LOG_00000048,CUST_06413,2023-12-05,Payments,5.7,Balance Inquiry
LOG_00000049,CUST_04997,2026-01-18,Payments,7.1,Fund Transfer
LOG_00000050,CUST_01195,2025-05-23,Accounts,15.5,Profile
LOG_00000051,CUST_04781,2025-01-15,Cards,2.6,KYC Upload
LOG_00000052,CUST_08347,2024-07-02,Loans,12.1,Fund Transfer
LOG_00000053,CUST_08163,2026-05-09,Loans,4.5,Fund Transfer
LOG_00000054,CUST_00139,2025-04-07,Accounts,2.0,Fund Transfer
LOG_00000055,CUST_01193,2024-02-22,KYC,3.6,Balance Inquiry
LOG_00000056,CUST_08496,2024-09-06,Payments,6.1,Profile
LOG_00000057,CUST_09314,2025-08-30,KYC,19.3,Profile
LOG_00000058,CUST_03157,2025-03-13,Cards,8.3,KYC Upload
LOG_00000059,CUST_00438,2025-05-29,Profile,13.7,Profile
