Loan_ID,Customer_ID,Product,Disbursement_Date,Loan_Amount,Interest_Rate,Tenure,DPD_Days,NPA_Flag,NPA_Flag_raw
LOAN_0000001,CUST_01326,Education,2021-01-30,1790242.44,11.54,120,3,N,N
LOAN_0000002,CUST_9999,Personal,2026-03-18,669397.87,13.1,36,8,N,N
LOAN_0000003,CUST_08936,Home,2023-09-03,7053458.84,7.77,120,9,N,N
LOAN_0000004,CUST_04779,Home,2024-06-21,6376472.95,7.32,120,15,N,N
LOAN_0000005,CUST_01816,Personal,2025-02-06,1450768.89,12.73,60,1,N,N
LOAN_0000006,CUST_09838,Home,2021-01-07,8172122.22,7.89,180,6,N,N
LOAN_0000007,CUST_05661,Home,2026-05-30,7044913.17,9.08,300,12,N,N
LOAN_0000008,CUST_05404,Home,2026-05-04,8037235.85,9.87,180,2,N,N
LOAN_0000009,CUST_00854,Personal,2021-08-09,126520.2,16.97,24,4,N,N
LOAN_0000010,CUST_02159,Personal,2022-04-21,1495851.57,12.63,60,22,N,N
LOAN_0000011,CUST_06440,Personal,2022-11-20,1364495.23,14.36,48,2,N,N
LOAN_0000012,CUST_03302,Auto,2022-01-28,1776748.21,11.22,48,9,N,N
LOAN_0000013,CUST_01129,Home,2025-12-22,3188854.44,7.63,300,3,N,N
LOAN_0000014,CUST_05677,Auto,2025-09-20,1379446.47,10.5,60,7,N,N
LOAN_0000015,CUST_04737,Education,2021-10-15,1357618.67,7.7,120,6,N,N
LOAN_0000016,CUST_09102,Auto,2022-01-15,2142035.97,9.21,72,6,N,N
LOAN_0000017,CUST_03576,Auto,2023-02-23,2232083.66,9.73,72,14,N,N
LOAN_0000018,CUST_00002,Home,2023-11-21,6412229.63,7.93,300,27,N,N
LOAN_0000019,CUST_08301,Personal,2024-06-01,1433253.42,16.89,24,12,N,N
LOAN_0000020,CUST_01624,Home,2024-08-22,8927455.01,7.79,240,1,N,N
LOAN_0000021,CUST_02902,Personal,2024-10-24,319631.4,12.23,48,2,N,N
LOAN_0000022,CUST_05176,Home,2026-03-16,6963442.82,9.62,240,4,N,N
LOAN_0000023,CUST_08551,Personal,2024-05-23,679876.58,10.78,24,3,N,N
LOAN_0000024,CUST_01443,Personal,2021-11-06,1406152.38,15.78,36,90,Y,Y
LOAN_0000025,CUST_07114,Personal,2023-10-07,1108924.78,16.93,36,2,N,N
LOAN_0000026,CUST_05039,Home,2022-02-11,7229239.08,9.39,240,22,N,N
LOAN_0000027,CUST_02287,Education,2021-01-09,675756.47,9.16,120,3,N,N
LOAN_0000028,CUST_10150,Auto,2025-08-09,1287844.07,10.96,72,6,N,N
LOAN_0000029,CUST_07526,Personal,2021-03-17,145999.33,16.3,36,5,N,N
LOAN_0000030,CUST_00144,Home,2023-06-11,4367484.41,7.41,240,5,N,N
LOAN_0000031,CUST_03719,Auto,2026-06-22,2037540.58,8.77,48,14,N,N
LOAN_0000032,CUST_00283,Personal,2023-01-02,724494.66,10.77,36,9,N,N
LOAN_0000033,CUST_04081,Auto,2021-07-21,1939703.64,8.49,60,3,N,N
LOAN_0000034,CUST_08315,Personal,2025-05-06,425653.32,11.52,24,34,N,N
LOAN_0000035,CUST_08646,Education,2021-08-10,422698.6,11.25,84,2,N,N
LOAN_0000036,CUST_01655,Personal,2021-02-14,749585.84,11.5,60,4,N,N
LOAN_0000037,CUST_05821,Education,2024-11-10,1983629.53,7.7,60,5,N,N
LOAN_0000038,CUST_02724,Personal,2023-12-12,553433.11,10.76,36,4,N,N
LOAN_0000039,CUST_08073,Personal,2022-11-21,993839.03,15.34,36,48,N,N
LOAN_0000040,CUST_03625,Personal,2022-05-31,862900.91,14.52,24,7,N,N
LOAN_0000041,CUST_05342,Personal,2026-01-21,948866.5,14.15,60,9,N,N
LOAN_0000042,CUST_05139,Home,2022-04-23,4038508.84,9.25,300,95,Y,Y
LOAN_0000043,CUST_01185,Personal,2026-06-26,295426.99,16.18,48,4,N,N
