Txn_ID,Account_ID,Txn_Date,Txn_Type,Amount,Channel,Merchant_Category
TXN_00000001,ACC_003343,2026-06-14,Debit,9155.59,ATM,Travel
TXN_00000002,ACC_001773,2024-05-16,Credit,13200.43,NetBanking,Education
TXN_00000003,ACC_007977,2024-04-16,Debit,4924.21,UPI,Investment
TXN_00000004,ACC_012173,2025-04-06,Debit,7372.86,NetBanking,Investment
TXN_00000005,ACC_007812,2023-01-24,Debit,919.75,NetBanking,Utilities
TXN_00000006,ACC_002491,2024-09-30,Credit,1464.9,Branch,Salary
TXN_00000007,ACC_000023,2023-09-17,Credit,9600.04,UPI,Investment
TXN_00000008,ACC_000817,2024-07-27,Credit,51641.64,ATM,Salary
TXN_00000009,ACC_009327,2024-12-25,Credit,4222.52,UPI,Utilities
TXN_00000010,ACC_005878,2026-03-17,Debit,1582.95,UPI,Salary
TXN_00000011,ACC_011697,2022-08-03,Debit,7389.13,NetBanking,Healthcare
TXN_00000012,ACC_008956,,Debit,13881.49,Branch,Dining
TXN_00000013,ACC_009607,2023-08-24,Debit,972.43,NetBanking,Education
TXN_00000014,ACC_003202,2023-08-17,Debit,4917.73,UPI,Utilities
TXN_00000015,ACC_008675,2025-07-01,Debit,15879.74,NetBanking,Education
TXN_00000016,ACC_002903,2022-09-07,Credit,37740.53,UPI,Investment
TXN_00000017,ACC_010040,2021-01-11,Debit,3583.71,Branch,Dining
TXN_00000018,ACC_000565,2022-12-03,Credit,2752.97,UPI,Education
TXN_00000019,ACC_012332,2026-04-10,Debit,2056.07,NetBanking,Investment
TXN_00000020,ACC_011211,2024-05-26,Debit,3824.93,Branch,Dining
TXN_00000021,ACC_004001,2025-03-11,Debit,6094.09,ATM,Travel
TXN_00000022,ACC_010275,2024-02-25,Credit,4291.18,Branch,Transfer
TXN_00000023,ACC_000009,2023-04-06,Credit,670.05,NetBanking,Salary
TXN_00000024,ACC_000413,2021-06-07,Debit,10601.55,ATM,Dining
TXN_00000025,ACC_000672,2023-07-22,Credit,3213.51,UPI,Dining
TXN_00000026,ACC_012325,2026-03-12,Debit,1241.25,ATM,Dining
TXN_00000027,ACC_001423,2026-05-16,Debit,6166.06,UPI,Utilities
TXN_00000028,ACC_008142,2025-11-15,Credit,2550.29,NetBanking,Salary
TXN_00000029,ACC_012193,2024-04-13,Debit,2337.62,UPI,Other
TXN_00000030,ACC_007078,2024-04-25,Credit,29866.23,UPI,Transfer
TXN_00000031,ACC_012300,2023-03-12,Credit,20186.66,UPI,Education
TXN_00000032,ACC_012439,2023-03-23,Debit,1245.26,ATM,Healthcare
TXN_00000033,ACC_003829,2024-06-08,Credit,37601.85,UPI,Healthcare
TXN_00000034,ACC_001812,2023-06-20,Debit,3811.2,UPI,Healthcare
TXN_00000035,ACC_009953,2022-02-26,Credit,1672.95,Branch,Education
TXN_00000036,ACC_008058,2025-08-22,Credit,14723.73,UPI,Salary
TXN_00000037,ACC_000202,2021-06-04,Credit,9999.0,UPI,Education
TXN_00000038,ACC_006117,2024-12-14,Debit,2827.45,ATM,Other
TXN_00000039,ACC_008237,2021-01-28,Debit,3443.27,UPI,Dining
TXN_00000040,ACC_012283,2023-08-10,Debit,3974.31,Branch,Dining
TXN_00000041,ACC_9999,2025-07-27,Credit,6803.02,ATM,Other
TXN_00000042,ACC_013375,2024-07-31,Credit,10042.01,NetBanking,Salary
TXN_00000043,ACC_013273,2026-08-03,Credit,9818.18,UPI,Utilities
TXN_00000044,ACC_003660,2026-01-27,Credit,9788.11,UPI,Transfer
TXN_00000045,ACC_013341,2026-01-13,Credit,10560.46,UPI,Utilities
TXN_00000046,ACC_007367,2024-06-03,Debit,638.07,NetBanking,Retail
TXN_00000047,ACC_001192,2021-01-24,Debit,4281.97,NetBanking,Utilities
TXN_00000048,ACC_003278,2024-01-11,Credit,2253.85,UPI,Utilities
TXN_00000049,ACC_008355,2025-08-07,Debit,1967.05,NetBanking,Travel
TXN_00000050,ACC_010393,2022-08-10,Debit,789.72,ATM,Transfer
TXN_00000051,ACC_007268,2021-05-12,Credit,338.64,Branch,Healthcare
TXN_00000052,ACC_011793,2025-01-10,Credit,21472.27,NetBanking,Dining
TXN_00000053,ACC_006255,2022-05-17,Credit,4662.59,NetBanking,Travel
TXN_00000054,ACC_013348,2024-04-19,Credit,55836.73,NetBanking,Investment
TXN_00000055,ACC_007996,2021-12-06,Debit,10410.98,NetBanking,Investment
TXN_00000056,ACC_001956,2021-11-11,Credit,9411.94,NetBanking,Retail
TXN_00000057,ACC_001131,2021-06-27,Credit,10742.38,NetBanking,Healthcare
TXN_00000058,ACC_012988,2023-09-15,Debit,1027.61,NetBanking,Healthcare
TXN_00000059,ACC_004061,2024-05-25,Debit,40658.81,UPI,Salary
TXN_00000060,ACC_000320,2023-09-24,Debit,272.85,ATM,Transfer
TXN_00000061,ACC_002138,2022-01-10,Credit,71751.99,UPI,Utilities
TXN_00000062,ACC_008345,2023-05-29,Credit,18980.84,NetBanking,Salary
TXN_00000063,ACC_005844,2025-12-19,Debit,2225.12,NetBanking,Salary
TXN_00000064,ACC_008123,2024-12-27,Debit,2195.99,UPI,Investment
TXN_00000065,ACC_006435,2024-03-02,Debit,749.2,UPI,Other
TXN_00000066,ACC_005182,2026-06-08,Credit,14753.06,ATM,Retail
TXN_00000067,ACC_000339,2026-01-15,Credit,4319.08,Branch,Utilities
TXN_00000068,ACC_006164,2022-08-04,Credit,13567.21,UPI,Other
TXN_00000069,ACC_012631,2024-09-30,Credit,10307.24,Branch,Education
TXN_00000070,ACC_011819,2021-05-05,Debit,1569.66,NetBanking,Salary
TXN_00000071,ACC_010720,2024-05-09,Credit,12262.4,ATM,Dining
TXN_00000072,ACC_000390,2025-12-02,Debit,2437.56,Branch,Transfer
TXN_00000073,ACC_010229,2021-12-08,Credit,1709.77,Branch,Healthcare
TXN_00000074,ACC_010058,2023-10-26,Debit,10261.83,NetBanking,Investment
TXN_00000075,ACC_001345,2023-12-03,Debit,907.74,NetBanking,Education
TXN_00000076,ACC_011113,2023-07-07,Debit,2867.76,ATM,Dining
TXN_00000077,ACC_002107,2021-01-08,Credit,13266.18,UPI,Utilities
TXN_00000078,ACC_011087,2024-01-19,Credit,5934.03,UPI,Dining
TXN_00000079,ACC_009666,2021-03-26,Debit,3025.19,Branch,Healthcare
TXN_00000080,ACC_002583,2021-11-21,Debit,660.95,NetBanking,Travel
TXN_00000081,ACC_002781,2025-05-16,Debit,5265755.71,NetBanking,Wire Transfer
TXN_00000082,ACC_004389,2022-01-04,Debit,969.54,ATM,Utilities
TXN_00000083,ACC_002238,2022-12-21,Credit,16835.99,Branch,Investment
TXN_00000084,ACC_011051,2024-10-23,Debit,2661.84,NetBanking,Retail
TXN_00000085,ACC_006289,2021-02-21,Credit,4277.66,Branch,Investment
TXN_00000086,ACC_003139,2024-07-10,Credit,5495.13,NetBanking,Retail
TXN_00000087,ACC_010088,2024-11-08,Credit,2642.73,UPI,Education
TXN_00000088,ACC_004240,2024-11-20,Debit,1238.16,NetBanking,Retail
TXN_00000089,ACC_005328,2023-02-22,Debit,515.19,UPI,Travel
TXN_00000090,ACC_001577,2024-11-02,Debit,5472.31,ATM,Travel
TXN_00000091,ACC_007603,2023-03-23,Credit,10926.07,UPI,Other
TXN_00000092,ACC_000353,2024-10-11,Debit,5677.85,Branch,Retail
TXN_00000093,ACC_008890,2026-03-24,Credit,16995.93,NetBanking,Healthcare
TXN_00000094,ACC_003418,2023-08-29,Credit,30420.13,NetBanking,Transfer
TXN_00000095,ACC_011580,2025-12-10,Credit,252.78,ATM,Dining
TXN_00000096,ACC_004400,2021-02-08,Credit,39830.22,ATM,Dining
TXN_00000097,ACC_000653,2022-03-11,Debit,2572.54,NetBanking,Investment
TXN_00000098,ACC_008056,2023-10-01,Credit,23956.05,NetBanking,Salary
TXN_00000099,ACC_009823,2026-04-21,Debit,1750.8,ATM,Travel
TXN_00000100,ACC_005255,2021-07-21,Credit,9754.01,ATM,Dining
TXN_00000101,ACC_001969,2023-02-02,Debit,1070.92,NetBanking,Transfer
TXN_00000102,ACC_006892,2023-05-24,Debit,4821.82,Branch,Other
TXN_00000103,ACC_011963,2025-11-07,Credit,4114.43,UPI,Investment
TXN_00000104,ACC_013777,2025-02-08,Debit,30204.4,UPI,Education
TXN_00000105,ACC_013060,2026-02-12,Debit,3041.99,ATM,Utilities
TXN_00000106,ACC_003528,2023-03-12,Debit,309.73,UPI,Salary
TXN_00000107,ACC_006938,2026-03-01,Debit,4079.84,Branch,Utilities
TXN_00000108,ACC_007119,2022-05-01,Credit,1479.82,NetBanking,Other
TXN_00000109,ACC_009040,2021-10-18,Debit,12746.77,UPI,Other
TXN_00000110,ACC_000684,2023-09-01,Debit,7037.9,ATM,Investment
TXN_00000111,ACC_006568,2024-04-05,Credit,947.77,NetBanking,Transfer
TXN_00000112,ACC_003308,2025-02-15,Credit,1974.33,UPI,Education
TXN_00000113,ACC_013814,2023-05-27,Debit,35449.69,ATM,Healthcare
TXN_00000114,ACC_007436,2022-03-09,Credit,3589.85,NetBanking,Salary
TXN_00000115,ACC_004392,2021-09-25,Credit,2541.18,UPI,Dining
TXN_00000116,ACC_006716,2025-09-23,Debit,4920.62,ATM,Transfer
TXN_00000117,ACC_011044,2023-04-09,Debit,14591.24,ATM,Salary
TXN_00000118,ACC_008995,2023-05-15,Debit,2243.01,UPI,Investment
TXN_00000119,ACC_005503,2022-07-05,Credit,350.13,NetBanking,Salary
TXN_00000120,ACC_012354,2021-03-19,Debit,6034.28,UPI,Retail
TXN_00000121,ACC_009665,2024-12-17,Debit,2748.45,ATM,Transfer
TXN_00000122,ACC_002874,2024-11-15,Credit,4228.63,NetBanking,Utilities
TXN_00000123,ACC_005538,2022-06-17,Credit,3540.14,UPI,Investment
TXN_00000124,ACC_006015,2024-06-22,Debit,664.75,UPI,Transfer
TXN_00000125,ACC_013719,2024-09-17,Credit,6029.56,UPI,Retail
TXN_00000126,ACC_001019,2023-12-01,Credit,780.82,UPI,Travel
TXN_00000127,ACC_005274,2026-01-28,Debit,7021.85,NetBanking,Education
TXN_00000128,ACC_001411,2025-11-08,Credit,23003.02,ATM,Travel
TXN_00000129,ACC_003031,2022-12-07,Debit,3996.14,ATM,Salary
TXN_00000130,ACC_004334,2022-08-29,Debit,3651.11,UPI,Healthcare
TXN_00000131,ACC_007814,2026-08-11,Debit,1878.24,ATM,Transfer
TXN_00000132,ACC_007780,2025-07-31,Debit,12247.99,NetBanking,Other
TXN_00000133,ACC_007355,2025-09-27,Debit,840.65,UPI,Investment
TXN_00000134,ACC_001252,2021-07-31,Credit,1812.61,ATM,Education
TXN_00000135,ACC_001355,2023-05-11,Credit,14336.81,UPI,Transfer
TXN_00000136,ACC_007997,2025-10-29,Credit,4042.16,Branch,Dining
TXN_00000137,ACC_008476,2022-06-26,Credit,3475.32,Branch,Transfer
TXN_00000138,ACC_013071,2021-06-19,Debit,787.17,NetBanking,Utilities
TXN_00000139,ACC_006913,2025-08-24,Debit,6519.8,Branch,Investment
TXN_00000140,ACC_006731,2025-09-05,Credit,5042.35,UPI,Retail
TXN_00000141,ACC_013142,2024-04-14,Debit,1365.63,NetBanking,Transfer
TXN_00000142,ACC_002260,2021-09-16,Debit,2128.72,UPI,Healthcare
TXN_00000143,ACC_005143,2023-06-30,Credit,1663.58,NetBanking,Retail
TXN_00000144,ACC_011009,2024-12-24,Debit,2225.2,UPI,Travel
TXN_00000145,ACC_005549,2022-01-06,Debit,19581.02,NetBanking,Travel
TXN_00000146,ACC_000870,2024-09-27,Debit,2774.06,UPI,Salary
TXN_00000147,ACC_011705,2026-07-03,Credit,11110.89,NetBanking,Dining
TXN_00000148,ACC_001784,2026-01-14,Debit,8743.32,UPI,Utilities
TXN_00000149,ACC_011483,2024-08-13,Debit,616.66,NetBanking,Education
TXN_00000150,ACC_007665,2026-06-01,Debit,4947.02,UPI,Travel
TXN_00000151,ACC_000233,2021-03-01,Credit,62416.43,Branch,Healthcare
TXN_00000152,ACC_005175,2023-10-12,Debit,1865.04,UPI,Utilities
TXN_00000153,ACC_004283,2023-01-22,Debit,5589.2,UPI,Retail
TXN_00000154,ACC_005825,2022-03-17,Credit,7468.55,ATM,Education
TXN_00000155,ACC_011568,2022-04-15,Credit,4378.08,NetBanking,Transfer
TXN_00000156,ACC_010430,2024-05-10,Credit,4196.09,UPI,Dining
TXN_00000157,ACC_007443,2022-12-28,Credit,6736.47,UPI,Education
TXN_00000158,ACC_002774,2021-08-26,Credit,36341.51,ATM,Retail
TXN_00000159,ACC_005704,2023-09-26,Debit,6116.05,UPI,Education
TXN_00000160,ACC_002471,2023-11-11,Debit,9161.45,UPI,Transfer
TXN_00000161,ACC_000898,2024-11-06,Debit,540.42,ATM,Utilities
TXN_00000162,ACC_013514,2022-06-25,Credit,24503.56,NetBanking,Transfer
TXN_00000163,ACC_009496,2025-06-07,Debit,276.64,UPI,Transfer
TXN_00000164,ACC_013775,2024-06-14,Credit,1246.88,UPI,Investment
TXN_00000165,ACC_001084,2021-07-07,Credit,3261.6,UPI,Travel
TXN_00000166,ACC_003413,2021-12-24,Debit,5240.21,UPI,Utilities
TXN_00000167,ACC_013340,2026-08-12,Credit,20538.09,UPI,Dining
TXN_00000168,ACC_012691,2026-01-15,Debit,2421.87,UPI,Healthcare
TXN_00000169,ACC_000930,2021-07-19,Debit,452.98,UPI,Education
TXN_00000170,ACC_005739,2024-09-19,Debit,159.36,ATM,Salary
TXN_00000171,ACC_005894,2025-05-14,Debit,2724.7,UPI,Dining
TXN_00000172,ACC_013008,2022-03-19,Debit,1383.87,UPI,Salary
TXN_00000173,ACC_003301,2023-02-14,Credit,12207.69,ATM,Dining
TXN_00000174,ACC_011593,2023-03-06,Credit,20998.17,Branch,Other
TXN_00000175,ACC_012083,2022-10-14,Debit,660.29,UPI,Salary
TXN_00000176,ACC_012663,2025-09-27,Credit,2842.92,NetBanking,Retail
TXN_00000177,ACC_013539,2023-01-06,Credit,17617.25,ATM,Travel
TXN_00000178,ACC_006489,2026-08-05,Debit,3077.42,UPI,Investment
